,lat,lon
0,45.049602,7.684859
1,45.048169,7.684837
2,45.070141,7.664186
3,45.069974,7.66498
4,45.064533,7.695944
5,45.070307,7.681524
6,45.070307,7.681524
7,45.070527,7.683906
8,45.062478,7.698806
9,45.062409,7.698665
10,45.049986,7.68725
11,45.050118,7.685033
12,45.049065,7.684121
13,45.070899,7.676439
14,45.069466,7.686658
15,45.068894,7.685825
16,45.068663,7.687108
17,45.064306,7.690622
18,45.098511,7.735816
19,45.064306,7.690622
20,45.031111,7.6875
21,45.063497,7.697322
22,45.060599,7.644208
23,45.060444,7.682394
24,45.060416,7.682466
25,45.060219,7.682097
26,45.060219,7.682097
27,45.060161,7.682027
28,45.060161,7.682027
29,45.060077,7.68178
30,45.060055,7.681747
31,45.031116,7.683708
32,45.060077,7.681794
33,45.031069,7.683588
34,45.030777,7.684586
35,45.060058,7.697416
36,45.060219,7.697341
37,45.063163,7.697772
38,45.063758,7.697383
39,45.063919,7.696886
40,45.075436,7.684897
41,45.074708,7.684366
42,45.074105,7.684688
43,45.074597,7.684677
44,45.073608,7.685088
45,45.073533,7.685194
46,45.070388,7.686952
47,45.068744,7.692422
48,45.06943,7.685286
49,45.06943,7.685286
50,45.064306,7.690622
51,45.064306,7.690622
52,45.064306,7.690622
53,45.0645,7.690689
54,45.059586,7.69725
55,45.059586,7.69725
56,45.059547,7.697063
57,45.059547,7.697063
58,45.059944,7.697361
59,45.06893,7.68685
60,45.06843,7.686322
61,45.068477,7.686286
62,45.068633,7.686216
63,45.06948,7.684577
64,45.069375,7.685227
65,45.07055,7.6857
66,45.069527,7.685269
67,45.069958,7.685658
68,45.071002,7.686802
69,45.071066,7.686783
70,45.071013,7.685194
71,45.06898,7.682575
72,45.068763,7.682686
73,45.067752,7.682697
74,45.066677,7.681466
75,45.067916,7.682602
76,45.067744,7.682725
77,45.067416,7.681875
78,45.067269,7.681836
79,45.064319,7.678702
80,45.066455,7.681741
81,45.064311,7.680111
82,45.064683,7.680127
83,45.064741,7.680052
84,45.063197,7.678438
85,45.073732,7.685356
86,45.073732,7.685356
87,45.073596,7.685303
88,45.064124,7.696137
89,45.111127,7.70663
90,45.067463,7.691455
91,45.067463,7.691455
92,45.056091,7.69133
93,45.047608,7.686775
94,45.043163,7.682916
95,45.043852,7.684247
96,45.14565,7.655775
