,lat,lon
0,45.030468,7.656172
1,45.069156,7.685
2,45.073103,7.686223
3,45.068997,7.685526
4,45.069095,7.693122
5,45.067822,7.68263
6,45.068055,7.682777
7,45.060426,7.676889
8,45.060426,7.676889
9,45.068133,7.683144
10,45.06758,7.691613
11,45.062508,7.69908
12,45.068316,7.682875
13,45.067269,7.682361
14,45.066125,7.654091
15,45.066208,7.653838
16,45.067247,7.682202
17,45.067175,7.681872
18,45.059812,7.697392
19,45.072797,7.682702
20,45.081075,7.676641
21,45.063888,7.696388
22,45.067777,7.691944
23,45.032463,7.641082
24,45.135277,7.624166
25,45.06718,7.682411
26,45.058092,7.70811
27,45.057804,7.708861
28,45.057804,7.708861
29,45.05863,7.709183
30,45.062931,7.679078
31,45.059789,7.676728
32,45.070301,7.687146
33,45.069816,7.683241
34,45.067618,7.682318
35,45.067618,7.682318
36,45.063412,7.680859
37,45.063606,7.680183
38,45.068228,7.694892
39,45.065239,7.680602
40,45.070615,7.680623
41,45.068437,7.689828
42,45.065739,7.681009
43,45.058169,7.678597
44,45.066576,7.694163
45,45.052468,7.650175
46,45.076407,7.683788
47,45.062935,7.695364
48,45.063238,7.695879
49,45.064633,7.695944
50,45.073513,7.667929
51,45.109627,7.64098
52,45.092277,7.667748
53,45.032463,7.641082
54,45.064777,7.675719
55,45.064777,7.6757
56,45.0741,7.726555
57,45.074102,7.726577
58,45.092595,7.664315
59,45.092777,7.667555
60,45.093216,7.667191
61,45.093049,7.665774
62,45.093383,7.66644
63,45.092095,7.665538
64,45.092353,7.667641
65,45.092943,7.666654
66,45.092504,7.666718
67,45.092519,7.665152
68,45.092868,7.664659
69,45.093186,7.667598
70,45.092277,7.667577
71,45.092474,7.666869
72,45.092519,7.667212
73,45.092156,7.666976
74,45.09261,7.664852
75,45.092459,7.665517
76,45.0437,7.681375
77,45.073333,7.594722
78,45.081059,7.766282
79,45.081059,7.766282
80,45.071111,7.684858
81,45.066641,7.681636
82,45.081059,7.766282
83,45.063648,7.687962
84,45.063572,7.688305
85,45.077514,7.683305
86,45.092519,7.667212
87,45.092252,7.665179
88,45.092225,7.664395
89,45.092573,7.663543
90,45.093224,7.6635
91,45.092573,7.663543
92,45.092573,7.663543
93,45.093224,7.6635
94,45.091346,7.664358
95,45.092225,7.664701
96,45.092164,7.664079
97,45.092292,7.666617
98,45.092785,7.666826
99,45.093224,7.6635
100,45.092225,7.664701
101,45.093224,7.6635
102,45.093224,7.6635
103,45.093588,7.664036
104,45.092573,7.663543
105,45.093224,7.6635
106,45.092982,7.664337
107,45.091346,7.664358
108,45.091346,7.664358
109,45.091225,7.665174
110,45.09124,7.665796
111,45.092164,7.664079
112,45.091952,7.665367
113,45.092103,7.6635
114,45.092573,7.663543
115,45.092103,7.6635
116,45.092164,7.664079
117,45.092785,7.666826
118,45.092164,7.664079
119,45.052301,7.685129
120,45.052301,7.685129
121,45.052301,7.685129
122,45.0725,7.592499
123,45.0725,7.593055
124,45.0725,7.593055
125,45.0725,7.592777
126,45.072777,7.593055
127,45.073055,7.593055
128,45.0725,7.592777
129,45.0725,7.592777
130,45.072222,7.592777
131,45.0725,7.592499
132,45.0725,7.592499
133,45.072222,7.592777
134,45.0725,7.592499
135,45.072222,7.592499
136,45.072222,7.592499
137,45.072222,7.592499
138,45.072222,7.592777
139,45.072222,7.592777
140,45.0725,7.592499
141,45.0725,7.592499
142,45.072222,7.592777
143,45.0725,7.593055
144,45.0725,7.592777
145,45.0725,7.592777
146,45.0725,7.592499
147,45.07123,7.690539
148,45.078157,7.684335
149,45.07123,7.690539
150,45.07123,7.690539
151,45.07123,7.690539
152,45.07123,7.690539
153,45.073429,7.689614
154,45.031894,7.673456
155,45.078657,7.682694
156,45.078672,7.682447
157,45.132336,7.754108
158,45.092263,7.664188
159,45.049666,7.685138
160,45.063333,7.696111
161,45.031894,7.673456
162,45.076225,7.66983
163,45.075748,7.672276
164,45.031894,7.673456
165,45.031894,7.673456
166,45.071902,7.68108
167,45.082036,7.660506
168,45.032463,7.641082
169,45.077051,7.698025
170,45.076225,7.696748
171,45.032463,7.641082
172,45.032463,7.641082
173,45.059653,7.655861
174,45.059744,7.655839
175,45.059608,7.655582
176,45.074626,7.681245
177,45.025684,7.657384
178,45.025684,7.657384
179,45.025684,7.657384
180,45.059668,7.655754
181,45.059577,7.655711
182,45.059759,7.655839
183,45.059638,7.655646
184,45.059653,7.655711
