,lat,lon
0,45.073379,7.684453
1,45.071171,7.684957
2,45.030524,7.722873
3,45.073334,7.685494
4,45.075445,7.638072
5,45.031474,7.662456
6,45.032463,7.641082
7,45.072187,7.576339
8,45.058486,7.654176
9,45.066711,7.680913
10,45.080616,7.766979
11,45.061707,7.693959
12,45.07202,7.690815
13,45.069183,7.69353
14,45.068747,7.692688
15,45.068919,7.692819
16,45.069769,7.689733
17,45.069763,7.689905
18,45.070019,7.69025
19,45.069983,7.690158
20,45.069969,7.690163
21,45.069958,7.690166
22,45.071336,7.692705
23,45.0694,7.687952
24,45.070094,7.687386
25,45.070369,7.686683
26,45.071261,7.684802
27,45.071327,7.692586
28,45.067875,7.693908
29,45.067997,7.693927
30,45.063922,7.696922
31,45.074375,7.684933
32,45.073722,7.685013
33,45.071975,7.685658
34,45.071666,7.684788
35,45.074841,7.684786
36,45.071147,7.686455
37,45.06778,7.691925
38,45.0684,7.684438
39,45.074702,7.684622
40,45.068294,7.684411
41,45.069466,7.693052
42,45.068311,7.684411
43,45.019063,7.659025
44,45.019063,7.659025
45,45.068888,7.696111
46,45.071815,7.673387
47,45.044277,7.674716
48,45.080616,7.766979
49,45.080616,7.766979
50,45.080616,7.766979
51,45.080616,7.766979
52,45.080616,7.766979
53,45.032463,7.641082
54,45.032463,7.641082
55,45.032463,7.641082
56,45.135388,7.625348
57,45.080543,7.653028
58,45.071388,7.587432
59,45.06986,7.677758
60,45.06986,7.677758
61,45.070308,7.68665
62,45.068341,7.683044
63,45.076405,7.678975
64,45.068461,7.6844
65,45.068102,7.684355
66,45.068794,7.684375
67,45.068827,7.684408
68,45.076777,7.678813
69,45.068694,7.684302
70,45.067525,7.681952
71,45.071788,7.685955
72,45.068711,7.684291
73,45.068833,7.684383
74,45.068775,7.684436
75,45.068275,7.684397
76,45.0689,7.6845
77,45.069041,7.68485
78,45.067658,7.682186
79,45.0684,7.684436
80,45.068511,7.684358
81,45.068919,7.68445
82,45.06805,7.696163
83,45.067895,7.696083
84,45.135388,7.625348
85,45.135388,7.625348
86,45.135388,7.625348
87,45.068783,7.69308
88,45.073364,7.685869
89,45.032273,7.665077
90,45.032463,7.641082
91,45.070383,7.684528
92,45.071361,7.685897
93,45.032169,7.66497
94,45.032463,7.641082
95,45.065337,7.686331
96,45.072293,7.576317
97,45.032463,7.641082
98,45.072293,7.576274
99,45.032463,7.641082
100,45.07602,7.678917
101,45.075725,7.677748
102,45.063382,7.683777
103,45.063245,7.683852
104,45.068565,7.682855
105,45.075484,7.696909
106,45.055462,7.672265
107,45.032463,7.641082
108,45.077589,7.665817
109,45.032463,7.641082
110,45.032463,7.641082
111,45.031636,7.660152
112,45.031777,7.659455
113,45.043888,7.680277
114,45.017325,7.757747
115,45.031863,7.65878
116,45.032463,7.641082
117,45.064357,7.681556
118,45.031863,7.65878
119,45.079658,7.581591
120,45.032463,7.641082
121,45.032463,7.641082
122,45.071033,7.688219
123,45.071111,7.685966
124,45.071361,7.685897
125,45.071361,7.685897
126,45.068213,7.682876
127,45.031227,7.666721
128,45.032463,7.641082
129,45.032463,7.641082
130,45.017258,7.757619
131,45.069709,7.70399
132,45.073566,7.685043
133,45.073566,7.685043
134,45.073566,7.685043
135,45.075051,7.684496
136,45.073566,7.685043
137,45.075051,7.684496
138,45.073566,7.685043
139,45.068398,7.687468
140,45.082005,7.578785
141,45.055462,7.672265
142,45.055462,7.672265
143,45.028072,7.597582
144,45.060335,7.692425
145,45.055439,7.689292
146,45.061396,7.692596
147,45.061396,7.692596
148,45.065731,7.694034
149,45.070186,7.685773
150,45.070853,7.684142
151,45.071096,7.685472
152,45.072005,7.685494
153,45.059972,7.697341
154,45.083505,7.579107
155,45.059972,7.697341
156,45.059972,7.697341
157,45.059206,7.69865
158,45.060972,7.698369
159,45.060972,7.698369
160,45.063488,7.69751
161,45.063488,7.69751
162,45.064518,7.697296
163,45.064518,7.697296
164,45.064518,7.697296
165,45.064518,7.697296
166,45.064518,7.697296
167,45.064518,7.697296
168,45.063488,7.69751
169,45.070328,7.687514
170,45.068353,7.68319
171,45.032463,7.641082
172,45.032463,7.641082
173,45.064089,7.697017
174,45.064089,7.697017
175,45.092163,7.663264
176,45.091974,7.665688
177,45.142426,7.756433
178,45.142426,7.756433
179,45.059972,7.697341
180,45.059972,7.697341
181,45.059972,7.697341
182,45.004394,7.685397
183,45.004394,7.685397
184,45.004394,7.685397
185,45.004394,7.685397
186,45.004394,7.685397
187,45.004394,7.685397
188,45.004394,7.685397
189,45.004394,7.685397
190,45.004394,7.685397
191,45.004394,7.685397
192,45.004394,7.685397
193,45.004394,7.685397
194,45.004394,7.685397
195,45.004394,7.685397
196,45.004394,7.685397
197,45.004394,7.685397
198,45.004394,7.685397
199,45.017191,7.7575
200,45.017191,7.7575
201,45.134809,7.623267
202,45.093552,7.686485
203,45.017086,7.757661
204,45.032463,7.641082
205,45.068619,7.683949
206,45.071772,7.690947
207,45.032463,7.641082
208,45.068611,7.6925
209,45.112088,7.728691
210,45.111955,7.728733
211,45.110927,7.728508
212,45.068611,7.691944
213,45.069444,7.693055
214,45.017277,7.757766
215,45.081119,7.675583
216,45.110927,7.728508
217,45.032463,7.641082
218,45.032463,7.641082
219,45.081119,7.675583
220,45.081119,7.675583
221,45.081119,7.675583
222,45.072586,7.710363
223,45.08239,7.718582
224,45.033804,7.666118
225,45.068333,7.686111
226,45.010963,7.639486
227,45.051944,7.679722
228,45.0713,7.685386
229,45.080616,7.766979
230,45.068263,7.684375
231,45.068869,7.684447
232,45.068905,7.684541
233,45.070625,7.656366
234,45.064564,7.687017
235,45.070369,7.658083
236,45.069905,7.658672
237,45.071353,7.685644
238,45.071361,7.685897
239,45.074886,7.624972
240,45.067443,7.682189
241,45.059972,7.697341
242,45.111986,7.728591
243,45.110927,7.728508
244,45.069794,7.658694
245,45.074608,7.621683
246,45.074508,7.621563
247,45.074616,7.6213
248,45.000044,7.678613
249,45.049847,7.681225
250,45.070625,7.656366
