field_1,lat,lng,label,predictions,ids,CLUSTER_ID
26,45.00583,7.610441,0,"7 : 0.24987498, 3 : 0.03257258, 3 : 0.030320747",32112520197,
27,45.00583,7.610441,0,"2 : 0.17445469, 3 : 0.11896124, 3 : 0.10926271",33179068788,
28,45.00583,7.610441,0,"10 : 0.6862204, 6 : 0.053509835, 6 : 0.031175107",33179067018,
29,45.00583,7.610441,0,"6 : 0.11298812, 3 : 0.059365977, 6 : 0.049398363",32112517677,
30,45.00583,7.610441,0,"7 : 0.39663035, 7 : 0.06472756, 13 : 0.027028797",47002160612,
31,45.00583,7.610441,0,"7 : 0.18669252, 3 : 0.052039046, 2 : 0.037159696",32112515957,
32,45.00583,7.610441,0,"6 : 0.06969099, 6 : 0.06165118, 5 : 0.0449653",32112514837,
33,45.00583,7.610441,0,"13 : 0.33520377, 7 : 0.06237216, 10 : 0.048653234",32112513907,
34,45.00583,7.610441,0,"13 : 0.15064843, 7 : 0.13604327, 7 : 0.06560553",32112513257,
35,45.00583,7.610441,0,"13 : 0.088537455, 13 : 0.08691185, 13 : 0.0692552",32112521387,
36,45.013842,7.75286,1,"11 : 0.51407605, 11 : 0.24694258, 1 : 0.10837847",41584923262,
37,45.013842,7.75286,1,"2 : 0.6586341, 11 : 0.21622448, 11 : 0.011119349",27756337108,
38,45.013842,7.75286,1,"2 : 0.9447495, 11 : 0.017991755, 11 : 0.0049520596",27756339458,
39,45.013842,7.75286,1,"2 : 0.88902235, 11 : 0.06374814, 11 : 0.004155779",27756340188,
40,45.013842,7.75286,1,"2 : 0.8813521, 11 : 0.053178623, 11 : 0.020164542",27756338078,
41,45.013842,7.75286,1,"11 : 0.21530122, 13 : 0.09818731, 4 : 0.07383852",27756352658,
42,45.013842,7.75286,1,"7 : 0.58952653, 10 : 0.08882822, 7 : 0.07246758",26756898477,
43,45.016621,7.750114,1,"7 : 0.71648824, 14 : 0.16071703, 2 : 0.022190193",46268605384,
44,45.017592,7.752678,1,"5 : 0.94001937, 5 : 0.015179392, 5 : 0.001626805",42441528045,
45,45.017592,7.752678,1,"11 : 0.4135105, 1 : 0.19045761, 11 : 0.06545778",41536289550,
46,45.017592,7.752678,1,"9 : 0.22590528, 2 : 0.19993638, 9 : 0.101643905",42441525875,
47,45.017592,7.752678,1,"9 : 0.6958181, 9 : 0.25035766, 9 : 0.0060987896",41536287100,
48,45.017592,7.752678,1,"7 : 0.2503079, 7 : 0.10602317, 7 : 0.038321927",42584367054,
49,45.017592,7.752678,1,"7 : 0.10529254, 7 : 0.13190582",43302784601,
50,45.017592,7.752678,1,"7 : 0.6523345, 14 : 0.13953672, 7 : 0.03399937",29432785408,
51,45.017592,7.752678,1,"9 : 0.4975707, 7 : 0.10247575, 13 : 0.028030971",42398216675,
52,45.017592,7.752678,1,"7 : 0.68791866, 9 : 0.017036317, 14 : 0.012905223",43302782951,
53,45.017592,7.752678,1,"7 : 0.28159648, 7 : 0.27561423, 7 : 0.07802764",42398219175,
54,45.017592,7.752678,1,"7 : 0.18094693, 7 : 0.08063354, 6 : 0.05433085",43252979772,
55,45.017592,7.752678,1,"7 : 0.23687038, 7 : 0.11988738, 7 : 0.10505703",43252984162,
56,45.017269,7.757683,1,"12 : 0.08664649, 7 : 0.051712245, 12 : 0.047790904",48509562602,
57,45.017777,7.748888,1,"4 : 0.5856508, 2 : 0.08976125, 2 : 0.048133083",28439727189,
58,45.018692,7.665238,2,"3 : 0.96685743, 7 : 0.006947581, 7 : 0.0068663773",43980513671,
59,45.018692,7.665238,2,"10 : 0.18897142, 13 : 0.06679236, 13 : 0.06666591",30920114807,
