name,lat,lon
50579920277_fa2f9aa50b.jpg,45.061707,7.693959
50577973048_139d27bf79.jpg,45.070568,7.686170
50575284588_df17f1b811.jpg,45.038055,7.526666
50576015686_d8b9fdd5be.jpg,45.038055,7.526666
50575212067_55c380f8ac.jpg,45.049558,7.684453
50572163501_0f28c31b28.jpg,45.038055,7.526666
50572297657_5828c40928.jpg,45.038055,7.526666
50572159891_38fe03ef55.jpg,45.080695,7.534614
50572272297_ac3786eece.jpg,45.089255,7.637997
50572261797_f262cdc31c.jpg,45.088550,7.639403
50572073932_e21953ca2f.jpg,45.076339,7.530537
50570217743_779b17496a.jpg,45.037777,7.527222
50571098087_1649abc946.jpg,45.038055,7.526666
50570072173_0959c163cd.jpg,45.071111,7.685833
50568233478_50022caea4.jpg,45.071111,7.685833
50567726942_e52e42e815.jpg,45.070833,7.685833
50566913102_627cd4615d.jpg,45.032197,7.658500
50566017343_92da43e77f.jpg,45.031264,7.664819
50566102022_3d0653caed.jpg,45.066624,7.661950
50565965491_390f063f01.jpg,45.064647,7.670825
50565217553_ddc9116056.jpg,45.066477,7.660716
50565965366_578094180d.jpg,45.066533,7.660672
50565965261_7895e29852.jpg,45.066700,7.660838
50565965271_3ff19ea57d.jpg,45.066722,7.660797
50565217473_4f2bd70ef9.jpg,45.066624,7.660691
50566101857_cea456b46c.jpg,45.066608,7.660791
50565217348_1e5bfd8bdc.jpg,45.066586,7.660688
50565217318_6e7a7dcd54.jpg,45.066719,7.660655
50565965126_ec3b1830da.jpg,45.066722,7.660530
50566101787_9b95212250.jpg,45.066730,7.660533
50565965086_3717986ecd.jpg,45.066533,7.660577
50566101707_43ced457f8.jpg,45.066894,7.660855
50565217143_e3b9127bf8.jpg,45.066533,7.660580
50565964986_742b414b47.jpg,45.066577,7.660361
50565217123_75de16b93f.jpg,45.070050,7.700586
50565964826_4177fe04c0.jpg,45.070166,7.699975
50565964781_dba9c3da80.jpg,45.070094,7.700650
50565964806_d908820485.jpg,45.070247,7.700169
50565964796_1f5e3cce5e.jpg,45.070086,7.700627
50565217008_475079f941.jpg,45.066513,7.660583
50565216983_dfff8a5776.jpg,45.066558,7.660525
50565964711_9734e27e23.jpg,45.066772,7.660352
50566101452_7a7fbfdcb2.jpg,45.066666,7.661063
50565216923_30d1e080f8.jpg,45.066525,7.660600
50565216903_2214f84539.jpg,45.066525,7.660600
50566101392_2f8f075a43.jpg,45.066630,7.660147
