id,predictions,CLUSTER_ID
1.96461020218105E+018,"10 : 0.53190225, 2 : 0.11864032, 2 : 0.074112415",15
1.96321979001079E+018,"3 : 0.10526967, 3 : 0.10404642, 2 : 0.08695008",15
1.96155943930536E+018,"3 : 0.9828022, 3 : 0.008424402, 2 : 0.0017735854",15
1.95812789419238E+018,"3 : 0.72335607, 3 : 0.028694909, 3 : 0.018288957",15
1.95649609768779E+018,"2 : 0.5804523, 7 : 0.19609183, 12 : 0.034053754",15
1.95493505293432E+018,"14 : 0.11675256, 4 : 0.09959322, 2 : 0.036037024",15
1.95307551512631E+018,"10 : 0.22904038, 2 : 0.22456267, 10 : 0.11352711",15
1.95142889527206E+018,"3 : 0.74276865, 3 : 0.030708553, 3 : 0.014533678",15
1.94815698163609E+018,"7 : 0.9915593, 9 : 0.00083374046, 4 : 0.0005518743",15
1.94432891446343E+018,"12 : 0.62749875, 3 : 0.03082082, 3 : 0.02737004",15
1.94149440696597E+018,"3 : 0.5503137, 3 : 0.18618941, 3 : 0.04722453",15
1.94008363031747E+018,"2 : 0.1955412, 4 : 0.14365141, 13 : 0.0645345",15
1.93780677118153E+018,"2 : 0.06075702, 10 : 0.055674925, 7 : 0.043239508",15
1.93692599294339E+018,"2 : 0.1709213, 3 : 0.1163691, 2 : 0.049126867",15
1.93618367199393E+018,"3 : 0.13280524, 3 : 0.10871522, 2 : 0.10107039",15
1.93488998207636E+018,"3 : 0.70770115, 3 : 0.09816284, 2 : 0.03919132",15
1.93417870769214E+018,"8 : 0.22496511, 3 : 0.18425362, 13 : 0.16642213",15
1.93281406177745E+018,"12 : 0.077230446, 12 : 0.07658202, 7 : 0.049328312",15
1.93116528682241E+018,"13 : 0.4088565, 7 : 0.15740515, 13 : 0.031112455",15
1.91978823306173E+018,"3 : 0.9055753, 3 : 0.029869197, 3 : 0.0080588395",15
1.91111386301966E+018,"3 : 0.9088106, 3 : 0.023158154, 2 : 0.016760256",15
1.91111354456308E+018,"3 : 0.4776671, 3 : 0.052125707, 3 : 0.028778879",15
1.89431352133885E+018,"3 : 0.11130964, 3 : 0.08992029, 3 : 0.045406274",15
1.88997676297031E+018,"9 : 0.16444722, 8 : 0.11082867, 8 : 0.05963869",15
1.8833288130153E+018,"12 : 0.30998755, 2 : 0.12455411, 12 : 0.08300774",15
1.87393442162968E+018,"3 : 0.3652093, 3 : 0.2156792, 3 : 0.10644503",15
1.83625771059555E+018,"2 : 0.51135075, 9 : 0.08783228, 8 : 0.010987723",15
