,lat,lng,label,cores
0,45.000044,7.678613,0,1
1,45.000896999999995,7.684877,0,1
2,45.000896999999995,7.684877,0,1
3,45.001225,7.675511,0,1
4,45.001583000000004,7.686288,0,1
5,45.001761,7.686191,0,1
6,45.00246,7.686008999999999,0,1
7,45.003240999999996,7.686781,0,1
8,45.003287,7.686116,0,1
9,45.003484,7.685987,0,1
10,45.004394,7.685397,0,1
11,45.004394,7.685397,0,1
12,45.004394,7.685397,0,1
13,45.004394,7.685397,0,1
14,45.004394,7.685397,0,1
15,45.004394,7.685397,0,1
16,45.004394,7.685397,0,1
17,45.004394,7.685397,0,1
18,45.004394,7.685397,0,1
19,45.004394,7.685397,0,1
20,45.004394,7.685397,0,1
21,45.004394,7.685397,0,1
22,45.004394,7.685397,0,1
23,45.004394,7.685397,0,1
24,45.004394,7.685397,0,1
25,45.004394,7.685397,0,1
26,45.004394,7.685397,0,1
27,45.004394,7.685397,0,1
28,45.004544,7.693619,0,1
29,45.006661,7.668283,0,1
30,45.008414,7.670989,0,1
31,45.008414,7.670989,0,1
32,45.008414,7.670989,0,1
33,45.008414,7.670989,0,1
34,45.008414,7.670989,0,1
35,45.008414,7.670989,0,1
36,45.008414,7.670989,0,1
37,45.008414,7.670989,0,1
38,45.008414,7.670989,0,1
39,45.009423,7.634972,0,1
40,45.009461,7.634961,0,1
41,45.009643,7.635025,0,1
42,45.00978,7.638984,0,1
43,45.009856,7.638586999999999,0,1
44,45.009954,7.638866,0,1
45,45.009977,7.638437,0,1
46,45.010159,7.637525,0,1
47,45.01018,7.637322,0,1
48,45.010766,7.6420639999999995,0,1
49,45.010863,7.6504,0,1
50,45.010948,7.640733,0,1
51,45.010963000000004,7.639486,0,1
52,45.011009,7.641592,0,1
53,45.011175,7.645153,0,1
54,45.011251,7.647171000000001,0,1
55,45.0113,7.658836,0,1
56,45.011666,7.613888,0,1
57,45.011722,7.670044,0,1
58,45.013276,7.643694,0,1
59,45.013292,7.644209,0,1
60,45.013383000000005,7.624575999999999,0,1
61,45.013383000000005,7.644338,0,1
62,45.013595,7.644424000000001,0,1
63,45.013647999999996,7.624919,0,1
64,45.013785,7.625252000000001,0,1
65,45.013815,7.625069,0,1
66,45.014012,7.625497999999999,0,1
67,45.01405,7.625445,0,1
68,45.0143,7.646463000000001,0,1
69,45.014604,7.648886999999999,0,1
70,45.015021000000004,7.617795,0,1
71,45.016118,7.666983999999999,0,1
72,45.01624,7.6598820000000005,0,1
73,45.016433,7.628122,0,1
74,45.017291,7.662577000000001,0,1
75,45.017294,7.648077000000001,0,1
76,45.017486,7.619876,0,1
77,45.017493,7.620091,0,1
78,45.017493,7.620091,0,1
79,45.017493,7.620091,0,1
80,45.017493,7.620091,0,1
81,45.017493,7.6201229999999995,0,1
82,45.017546,7.620005,0,1
83,45.0176,7.647824000000001,0,1
84,45.017607,7.619919,0,1
85,45.017683,7.620005,0,1
86,45.017697999999996,7.6200589999999995,0,1
87,45.017736,7.619608,0,1
88,45.017759000000005,7.6196399999999995,0,1
89,45.017789,7.619511999999999,0,1
90,45.01785,7.61963,0,1
91,45.017857,7.619673,0,1
92,45.017857,7.619737,0,1
93,45.017865,7.619725999999999,0,1
94,45.017888,7.620005,0,1
95,45.017918,7.6197479999999995,0,1
96,45.017918,7.6197479999999995,0,1
97,45.0181,7.620016000000001,0,1
98,45.018108000000005,7.619812,0,1
99,45.018115,7.619961999999999,0,1
100,45.018136,7.663522,0,1
101,45.018138,7.6197479999999995,0,1
102,45.018138,7.619769,0,1
103,45.018153000000005,7.6200589999999995,0,1
104,45.018172,7.663477,0,1
105,45.018183,7.619961999999999,0,1
106,45.018190999999995,7.620048,0,1
107,45.018198999999996,7.619812,0,1
108,45.018229,7.620069,0,1
109,45.018244,7.619984,0,1
110,45.018305,7.619961999999999,0,1
111,45.018366,7.620284,0,1
112,45.018583,7.640600999999999,0,1
113,45.018583,7.640600999999999,0,1
114,45.018583,7.640600999999999,0,1
115,45.018692,7.665238,0,1
116,45.018692,7.665238,0,1
117,45.018692,7.665238,0,1
118,45.018692,7.665238,0,1
119,45.018692,7.665238,0,1
120,45.018692,7.665238,0,1
121,45.018692,7.665238,0,1
122,45.018692,7.665238,0,1
123,45.018692,7.665238,0,1
124,45.018692,7.665238,0,1
125,45.018692,7.665238,0,1
126,45.018692,7.665238,0,1
127,45.018692,7.665238,0,1
128,45.018692,7.665238,0,1
129,45.018692,7.665238,0,1
130,45.018692,7.665238,0,1
131,45.018692,7.665238,0,1
132,45.018692,7.665238,0,1
133,45.018692,7.665238,0,1
134,45.018692,7.665238,0,1
135,45.018692,7.665238,0,1
136,45.018692,7.665238,0,1
137,45.018692,7.665238,0,1
138,45.018692,7.665238,0,1
139,45.018692,7.665238,0,1
140,45.018692,7.665238,0,1
141,45.018692,7.665238,0,1
142,45.018692,7.665238,0,1
143,45.018692,7.665238,0,1
144,45.018692,7.665238,0,1
145,45.018692,7.665238,0,1
146,45.018692,7.665238,0,1
147,45.018692,7.665238,0,1
148,45.018692,7.665238,0,1
149,45.018692,7.665238,0,1
150,45.018692,7.665238,0,1
151,45.018692,7.665238,0,1
152,45.018692,7.665238,0,1
153,45.018692,7.665238,0,1
154,45.018692,7.665238,0,1
155,45.018692,7.665238,0,1
156,45.018692,7.665238,0,1
157,45.018692,7.665238,0,1
158,45.018692,7.665238,0,1
159,45.018692,7.665238,0,1
160,45.018692,7.665238,0,1
161,45.018692,7.665238,0,1
162,45.018692,7.665238,0,1
163,45.018692,7.665238,0,1
164,45.018692,7.665238,0,1
