field_1,lat,lng,label,cores,CLUSTER_ID,CLUSTER_SIZE,CLUSTER_ID_2,CLUSTER_SIZE_2
"11204",45.063038,7.687633,"1","1","14","6064","2","2053"
"11205",45.063038,7.687633,"1","1","14","6064","2","2053"
"11206",45.063038,7.687633,"1","1","14","6064","2","2053"
"11207",45.063038,7.687633,"1","1","14","6064","2","2053"
"11208",45.063038,7.687633,"1","1","14","6064","2","2053"
"11210",45.063041,7.678894,"1","1","14","6064","4","522"
"11211",45.063041,7.678894,"1","1","14","6064","4","522"
"11212",45.063041,7.678894,"1","1","14","6064","4","522"
"11213",45.063041,7.678894,"1","1","14","6064","4","522"
"11214",45.063041,7.678894,"1","1","14","6064","4","522"
"11215",45.063041,7.678894,"1","1","14","6064","4","522"
"11216",45.063041,7.678894,"1","1","14","6064","4","522"
"11217",45.063041,7.678894,"1","1","14","6064","4","522"
"11232",45.063058,7.684052,"1","1","14","6064","2","2053"
"11233",45.063061,7.679544,"1","1","14","6064","4","522"
"11234",45.063061,7.684528,"1","1","14","6064","2","2053"
"11235",45.063063,7.676622,"1","1","14","6064","4","522"
"11236",45.063063,7.683691,"1","1","14","6064","2","2053"
"11237",45.063075,7.678866,"1","1","14","6064","4","522"
"11238",45.063075,7.67955,"1","1","14","6064","4","522"
"11239",45.063075,7.681219,"1","1","14","6064","4","522"
"11240",45.063077,7.684272,"1","1","14","6064","2","2053"
"11241",45.063077,7.684272,"1","1","14","6064","2","2053"
"11248",45.063095,7.675128,"1","1","14","6064","4","522"
"11249",45.063101,7.677651,"1","1","14","6064","4","522"
"11250",45.063101,7.679764,"1","1","14","6064","4","522"
"11251",45.063101,7.679764,"1","1","14","6064","4","522"
"11254",45.06313,7.678897,"1","1","14","6064","4","522"
"11260",45.063147,7.67763,"1","1","14","6064","4","522"
"11261",45.063147,7.677673,"1","1","14","6064","4","522"
"11262",45.063147,7.677791,"1","1","14","6064","4","522"
"11263",45.063152,7.678794,"1","1","14","6064","4","522"
"11264",45.063152,7.678794,"1","1","14","6064","4","522"
"11265",45.063152,7.678794,"1","1","14","6064","4","522"
"11266",45.063152,7.678794,"1","1","14","6064","4","522"
"11267",45.063154,7.683627,"1","1","14","6064","2","2053"
"11268",45.063161,7.678888,"1","1","14","6064","4","522"
"11272",45.063177,7.678872,"1","1","14","6064","4","522"
"11273",45.063177,7.678872,"1","1","14","6064","4","522"
"11274",45.063177,7.678872,"1","1","14","6064","4","522"
"11275",45.063177,7.678872,"1","1","14","6064","4","522"
"11278",45.063185,7.687554,"1","1","14","6064","2","2053"
"11279",45.063185,7.687554,"1","1","14","6064","2","2053"
"11280",45.063185,7.687554,"1","1","14","6064","2","2053"
"11282",45.063192,7.677673,"1","1","14","6064","4","522"
"11285",45.063197,7.678438,"1","1","14","6064","4","522"
"11286",45.063197,7.678668,"1","1","14","6064","4","522"
"11287",45.063197,7.678668,"1","1","14","6064","4","522"
"11288",45.0632,7.687447,"1","1","14","6064","2","2053"
"11290",45.063205,7.679866,"1","1","14","6064","4","522"
"11296",45.063222,7.683891,"1","1","14","6064","2","2053"
"11299",45.06323,7.678027,"1","1","14","6064","4","522"
"11300",45.06323,7.683949,"1","1","14","6064","2","2053"
"11302",45.063238,7.677737,"1","1","14","6064","4","522"
"11305",45.063241,7.683819,"1","1","14","6064","2","2053"
"11306",45.063241,7.683819,"1","1","14","6064","2","2053"
"11307",45.063245,7.683852,"1","1","14","6064","2","2053"
"11309",45.063247,7.683819,"1","1","14","6064","2","2053"
"11310",45.063253,7.678638,"1","1","14","6064","4","522"
"11311",45.063255,7.679916,"1","1","14","6064","4","522"
"11313",45.063264,7.686459,"1","1","14","6064","2","2053"
"11314",45.063266,7.683758,"1","1","14","6064","2","2053"
"11321",45.063294,7.6791,"1","1","14","6064","4","522"
"11323",45.063299,7.67441,"1","1","14","6064","4","522"
"11324",45.063299,7.67441,"1","1","14","6064","4","522"
"11327",45.063321,7.681546,"1","1","14","6064","4","522"
"11344",45.063338,7.680097,"1","1","14","6064","4","522"
"11346",45.063351,7.686696,"1","1","14","6064","2","2053"
"11350",45.063369,7.676425,"1","1","14","6064","4","522"
"11351",45.06337,7.67428,"1","1","14","6064","4","522"
"11352",45.063382,7.683777,"1","1","14","6064","2","2053"
"11354",45.063386,7.681524,"1","1","14","6064","4","522"
"11355",45.063386,7.683583,"1","1","14","6064","2","2053"
"11357",45.063388,7.680372,"1","1","14","6064","4","522"
"11359",45.063402,7.682677,"1","1","14","6064","4","522"
"11360",45.063412,7.680859,"1","1","14","6064","4","522"
"11361",45.063412,7.687146,"1","1","14","6064","2","2053"
"11363",45.063422,7.682413,"1","1","14","6064","4","522"
"11364",45.063422,7.682413,"1","1","14","6064","4","522"
"11369",45.063444,7.68685,"1","1","14","6064","2","2053"
"11370",45.063447,7.678408,"1","1","14","6064","4","522"
"11372",45.06345,7.682608,"1","1","14","6064","4","522"
"11373",45.06345,7.682608,"1","1","14","6064","4","522"
"11376",45.063469,7.681513,"1","1","14","6064","4","522"
"11377",45.063472,7.680066,"1","1","14","6064","4","522"
"11378",45.063472,7.680066,"1","1","14","6064","4","522"
"11395",45.063491,7.679188,"1","1","14","6064","4","522"
"11400",45.063519,7.682355,"1","1","14","6064","4","522"
"11401",45.063525,7.680772,"1","1","14","6064","4","522"
"11423",45.063538,7.675494,"1","1","14","6064","4","522"
"11426",45.063555,7.679255,"1","1","14","6064","4","522"
"11431",45.063568,7.680923,"1","1","14","6064","4","522"
"11437",45.063606,7.680183,"1","1","14","6064","4","522"
"11450",45.063648,7.687962,"1","1","14","6064","2","2053"
"11451",45.063655,7.676438,"1","1","14","6064","4","522"
"11452",45.063655,7.679225,"1","1","14","6064","4","522"
"11457",45.063674,7.681811,"1","1","14","6064","4","522"
"11463",45.063705,7.679722,"1","1","14","6064","4","522"
"11468",45.06375,7.681119,"1","1","14","6064","4","522"
"11481",45.063819,7.687161,"1","1","14","6064","2","2053"
"11482",45.063829,7.681449,"1","1","14","6064","4","522"
"11503",45.063897,7.683123,"1","1","14","6064","2","2053"
"11504",45.0639,7.680036,"1","1","14","6064","4","522"
"11508",45.063908,7.678913,"1","1","14","6064","4","522"
"11511",45.063919,7.679727,"1","1","14","6064","4","522"
"11516",45.063933,7.683058,"1","1","14","6064","2","2053"
"11522",45.063965,7.680204,"1","1","14","6064","4","522"
"11523",45.063969,7.679894,"1","1","14","6064","4","522"
"11531",45.06398,7.673392,"1","1","14","6064","4","522"
"11541",45.064033,7.680097,"1","1","14","6064","4","522"
"11544",45.064041,7.683874,"1","1","14","6064","2","2053"
"11545",45.064047,7.68014,"1","1","14","6064","4","522"
"11546",45.064047,7.68014,"1","1","14","6064","4","522"
"11547",45.064047,7.68014,"1","1","14","6064","4","522"
"11548",45.064047,7.68014,"1","1","14","6064","4","522"
"11549",45.064047,7.68014,"1","1","14","6064","4","522"
"11550",45.064047,7.68014,"1","1","14","6064","4","522"
"11551",45.064047,7.68014,"1","1","14","6064","4","522"
"11552",45.064047,7.68014,"1","1","14","6064","4","522"
"11553",45.064047,7.68014,"1","1","14","6064","4","522"
"11554",45.064047,7.687261,"1","1","14","6064","2","2053"
"11559",45.064061,7.679622,"1","1","14","6064","4","522"
"11561",45.064079,7.682855,"1","1","14","6064","2","2053"
"11563",45.064083,7.676269,"1","1","14","6064","4","522"
"11564",45.064088,7.687327,"1","1","14","6064","2","2053"
"11567",45.064091,7.679425,"1","1","14","6064","4","522"
"11569",45.064094,7.679902,"1","1","14","6064","4","522"
"11572",45.064109,7.679915,"1","1","14","6064","4","522"
"11584",45.064132,7.679271,"1","1","14","6064","4","522"
"11585",45.064132,7.679786,"1","1","14","6064","4","522"
"11591",45.064152,7.678905,"1","1","14","6064","4","522"
"11594",45.064162,7.685569,"1","1","14","6064","2","2053"
"11595",45.064162,7.685569,"1","1","14","6064","2","2053"
"11596",45.064162,7.685569,"1","1","14","6064","2","2053"
"11597",45.064162,7.685569,"1","1","14","6064","2","2053"
"11598",45.064162,7.685569,"1","1","14","6064","2","2053"
"11599",45.064162,7.685569,"1","1","14","6064","2","2053"
"11600",45.064162,7.685569,"1","1","14","6064","2","2053"
"11601",45.064162,7.685569,"1","1","14","6064","2","2053"
"11602",45.064162,7.685569,"1","1","14","6064","2","2053"
"11603",45.064162,7.685569,"1","1","14","6064","2","2053"
"11604",45.064162,7.685569,"1","1","14","6064","2","2053"
"11605",45.064162,7.685569,"1","1","14","6064","2","2053"
"11606",45.064162,7.685569,"1","1","14","6064","2","2053"
"11607",45.064162,7.685569,"1","1","14","6064","2","2053"
"11608",45.064162,7.685569,"1","1","14","6064","2","2053"
"11609",45.064162,7.685569,"1","1","14","6064","2","2053"
"11610",45.064162,7.685569,"1","1","14","6064","2","2053"
"11611",45.064162,7.685569,"1","1","14","6064","2","2053"
"11612",45.064162,7.685569,"1","1","14","6064","2","2053"
"11613",45.064162,7.685569,"1","1","14","6064","2","2053"
"11614",45.064162,7.685569,"1","1","14","6064","2","2053"
"11615",45.064162,7.685569,"1","1","14","6064","2","2053"
"11616",45.064162,7.685569,"1","1","14","6064","2","2053"
"11617",45.064162,7.685569,"1","1","14","6064","2","2053"
"11618",45.064162,7.685569,"1","1","14","6064","2","2053"
"11619",45.064162,7.685569,"1","1","14","6064","2","2053"
"11620",45.064162,7.685569,"1","1","14","6064","2","2053"
"11621",45.064162,7.685569,"1","1","14","6064","2","2053"
"11622",45.064162,7.685569,"1","1","14","6064","2","2053"
"11623",45.064162,7.685569,"1","1","14","6064","2","2053"
"11624",45.064162,7.685569,"1","1","14","6064","2","2053"
"11625",45.064162,7.685569,"1","1","14","6064","2","2053"
"11626",45.064162,7.685569,"1","1","14","6064","2","2053"
"11627",45.064162,7.685569,"1","1","14","6064","2","2053"
"11628",45.064162,7.685569,"1","1","14","6064","2","2053"
"11629",45.064162,7.685569,"1","1","14","6064","2","2053"
"11630",45.064162,7.685569,"1","1","14","6064","2","2053"
"11631",45.064162,7.685569,"1","1","14","6064","2","2053"
"11632",45.064162,7.685569,"1","1","14","6064","2","2053"
"11633",45.064162,7.685569,"1","1","14","6064","2","2053"
"11634",45.064162,7.685569,"1","1","14","6064","2","2053"
"11635",45.064162,7.685569,"1","1","14","6064","2","2053"
"11636",45.064162,7.685569,"1","1","14","6064","2","2053"
"11637",45.064162,7.685569,"1","1","14","6064","2","2053"
"11638",45.064162,7.685569,"1","1","14","6064","2","2053"
"11639",45.064162,7.685569,"1","1","14","6064","2","2053"
"11640",45.064162,7.685569,"1","1","14","6064","2","2053"
"11641",45.064162,7.685569,"1","1","14","6064","2","2053"
"11642",45.064162,7.685569,"1","1","14","6064","2","2053"
"11643",45.064162,7.685569,"1","1","14","6064","2","2053"
"11644",45.064162,7.685569,"1","1","14","6064","2","2053"
"11645",45.064162,7.685569,"1","1","14","6064","2","2053"
