ids,predictions,lat,lng,label,CLUSTER_ID
34121616854,"5 : 0.33559623, 5 : 0.08308982, 5 : 0.07302765",45.062563,7.598612,1,16.0
36451504696,"5 : 0.243033, 5 : 0.061304405, 13 : 0.05653406",45.062578,7.598397,1,16.0
35662682044,"6 : 0.29558733, 5 : 0.13824336, 5 : 0.07466391",45.062578,7.598397,1,16.0
36100844490,"5 : 0.24718201, 3 : 0.18368797, 5 : 0.120254025",45.062578,7.598397,1,16.0
33459944960,"3 : 0.37703237, 3 : 0.08233836, 3 : 0.07939182",45.071041,7.598224,1,16.0
34123606150,"9 : 0.21239181, 11 : 0.05616461, 9 : 0.041987877",45.071755,7.576253,1,16.0
34140712796,"13 : 0.10117447, 10 : 0.07445308, 2 : 0.04328307",45.071944,7.576253,1,16.0
34263906772,"1 : 0.790839, 11 : 0.1215985, 9 : 0.0065779453",45.071944,7.576253,1,16.0
37775898252,"7 : 0.40740314, 7 : 0.35020712, 3 : 0.02809582",45.071959,7.576231,1,16.0
27778555127,"7 : 0.57301015, 3 : 0.12352786, 7 : 0.02586549",45.071974,7.576167,1,16.0
32519294358,"3 : 0.36669356, 7 : 0.08133369, 7 : 0.0775291",45.072111,7.57636,1,16.0
23978352258,"6 : 0.143644, 2 : 0.05225433, 14 : 0.030524729",45.072126,7.576274,1,16.0
42740811182,"7 : 0.14875285, 2 : 0.10711957, 12 : 0.03215376",45.072202,7.576339,1,16.0
35725129130,"12 : 0.12378406, 13 : 0.07562843, 7 : 0.06396565",45.072222,7.592222,1,16.0
35308189323,"8 : 0.0998243, 13 : 0.06877548, 8 : 0.060933094",45.072222,7.592222,1,16.0
35308168153,"13 : 0.14137748, 3 : 0.11817595, 8 : 0.050242215",45.072222,7.592222,1,16.0
36074683616,"3 : 0.5130824, 8 : 0.16018273, 8 : 0.049383298",45.072222,7.592222,1,16.0
36116322775,"3 : 0.48848397, 8 : 0.20948292, 8 : 0.0896756",45.072222,7.592222,1,16.0
35275862414,"3 : 0.7154074, 8 : 0.07391992, 8 : 0.06733349",45.072222,7.592222,1,16.0
36116295745,"8 : 0.32654017, 3 : 0.1978184, 13 : 0.13434842",45.072222,7.592222,1,16.0
35982656621,"3 : 0.5338019, 8 : 0.3099865, 8 : 0.030876027",45.072222,7.592222,1,16.0
35982648361,"8 : 0.14127605, 13 : 0.08799419, 13 : 0.045560863",45.072222,7.592222,1,16.0
36116265715,"2 : 0.100179456, 13 : 0.083632685, 8 : 0.06464437",45.072222,7.592222,1,16.0
35308129653,"8 : 0.6136682, 13 : 0.07949845, 13 : 0.028517626",45.072222,7.592222,1,16.0
35982619091,"13 : 0.13077618, 13 : 0.11414511, 12 : 0.056010798",45.072222,7.592222,1,16.0
35308101433,"13 : 0.30206713, 2 : 0.084298946, 3 : 0.028220875",45.072222,7.592222,1,16.0
35275604744,"13 : 0.21541074, 2 : 0.07248278, 13 : 0.06130237",45.072222,7.592222,1,16.0
35982402791,"13 : 0.923521, 13 : 0.011982656, 2 : 0.011586547",45.072222,7.592222,1,16.0
35307809783,"13 : 0.5328288, 2 : 0.10498638, 13 : 0.03071212",45.072222,7.592222,1,16.0
36074263996,"13 : 0.7221713, 2 : 0.03602512, 13 : 0.019648124",45.072222,7.592222,1,16.0
35724757440,"13 : 0.09022475, 12 : 0.03759194, 2 : 0.032229923",45.072222,7.592222,1,16.0
35982371601,"13 : 0.71717745, 13 : 0.054369047, 13 : 0.028218921",45.072222,7.592222,1,16.0
