,lat,lon,id,predictions
0,45.0647194444,7.6840194444,1945671099049509922,"10 : 0.3902751, 10 : 0.11872533, 11 : 0.045158647"
1,45.0647194444,7.6840194444,1697009688997991826,"6 : 0.84880936, 2 : 0.016670518, 11 : 0.011581402"
2,45.06199,7.68795,2194443212891015790,"3 : 0.44174153, 7 : 0.045484923, 11 : 0.03151478"
3,45.06199,7.68795,2194441889889941130,"1 : 0.6229064, 11 : 0.03703545, 11 : 0.028998988"
4,45.06199,7.68795,2189203207279577023,"11 : 0.66335905, 2 : 0.12699834, 11 : 0.038211666"
5,45.06199,7.68795,2163875772450940539,"11 : 0.64187443, 11 : 0.09301885, 2 : 0.038601927"
6,45.06199,7.68795,2158767011915216752,"11 : 0.4693217, 11 : 0.1637148, 2 : 0.07004693"
7,45.06199,7.68795,2158757508813674209,"11 : 0.47860712, 11 : 0.1846552, 2 : 0.05973886"
8,45.06199,7.68795,2143622850267884529,"2 : 0.36721995, 11 : 0.19356309, 11 : 0.045431383"
9,45.06199,7.68795,2103175409415477821,"11 : 0.40731686, 11 : 0.3143532, 2 : 0.1033206"
10,45.06199,7.68795,2103091223972737354,"1 : 0.65332747, 1 : 0.09717025, 2 : 0.023652961"
11,45.06199,7.68795,2098085462850811782,"2 : 0.5545299, 2 : 0.2697094, 13 : 0.03288244"
12,45.06199,7.68795,2097904063766208379,"8 : 0.73523694, 7 : 0.032611366, 3 : 0.028161312"
13,45.06199,7.68795,2097897691972599237,"11 : 0.75432587, 3 : 0.040579878, 11 : 0.02229683"
14,45.06199,7.68795,2032109893038466791,"11 : 0.15355389, 1 : 0.12869054, 2 : 0.08860656"
15,45.06199,7.68795,2006811641680904383,"6 : 0.59632456, 2 : 0.08572149, 6 : 0.06937957"
16,45.06199,7.68795,1966136872532869746,"11 : 0.9798456, 2 : 0.00527235, 10 : 0.0008607449"
17,45.06199,7.68795,1879760600314715901,"11 : 0.8326265, 2 : 0.0517702, 11 : 0.011014551"
18,45.06199,7.68795,1874878422489507121,"2 : 0.5040775, 11 : 0.08691427, 11 : 0.02991794"
19,45.06199,7.68795,1854428677472162037,"11 : 0.39236397, 11 : 0.3758466, 11 : 0.05089083"
20,45.06199,7.68795,1829053898189307973,"11 : 0.7464733, 2 : 0.114778586, 3 : 0.0049599027"
21,45.06199,7.68795,1808725865497026985,"1 : 0.38550475, 11 : 0.22769773, 1 : 0.03068555"
22,45.06199,7.68795,1808725670294044664,"11 : 0.380339, 1 : 0.21885255, 1 : 0.028617673"
23,45.06199,7.68795,1808713071319751230,"11 : 0.6460826, 2 : 0.06605007, 7 : 0.057825334"
24,45.06199,7.68795,1773366884266004250,"1 : 0.07156296, 7 : 0.07106248, 7 : 0.06141157"
25,45.06199,7.68795,1626276430063876778,"1 : 0.8288801, 1 : 0.029242402, 13 : 0.017340764"
26,45.06199,7.68795,1534925137593527465,"7 : 0.21905448, 14 : 0.19841608, 1 : 0.037293673"
27,45.06199,7.68795,1484165546031642018,"1 : 0.21079007, 11 : 0.14108594, 11 : 0.069835775"
28,45.06199,7.68795,1524703141786037110,"8 : 0.7250019, 5 : 0.055603758, 4 : 0.02953221"
29,45.06199,7.68795,1524726065619270025,"13 : 0.43975568, 13 : 0.04163535, 10 : 0.032681223"
30,45.0867,7.6816247,2209730142691923026,"10 : 0.20510714, 9 : 0.11003258, 7 : 0.040350396"
31,45.0867,7.6816247,2209729946306397117,"7 : 0.3337223, 7 : 0.06036335, 7 : 0.04413132"
32,45.0867,7.6816247,2209729705326821204,"3 : 0.2127606, 8 : 0.08661216, 2 : 0.081174396"
33,45.0867,7.6816247,2209547706381334884,"12 : 0.4383006, 12 : 0.025020484, 12 : 0.022818243"
34,45.0867,7.6816247,2199593874062685618,"2 : 0.84886044, 6 : 0.0020763956, 2 : 0.0019530698"
35,45.0867,7.6816247,2199593733788309186,"8 : 0.58529836, 14 : 0.32988942, 8 : 0.011622538"
36,45.0867,7.6816247,2199554059808047560,"7 : 0.96555537, 9 : 0.005652813, 4 : 0.0023687067"
37,45.0867,7.6816247,2199550573846462930,"2 : 0.6542525, 2 : 0.06942519, 3 : 0.0058979224"
38,45.0867,7.6816247,2199545189819825941,"2 : 0.23941666, 7 : 0.0837768, 10 : 0.070699446"
39,45.0867,7.6816247,2199534116161072316,"2 : 0.22214423, 2 : 0.031316467, 14 : 0.013761311"
40,45.0867,7.6816247,2199523164522832283,"14 : 0.3872826, 3 : 0.04349386, 12 : 0.032198753"
41,45.0867,7.6816247,2199522845638378877,"7 : 0.5973132, 7 : 0.10165253, 2 : 0.024089647"
42,45.0867,7.6816247,2199522647860239565,"2 : 0.06829526, 6 : 0.02377662, 2 : 0.019272434"
43,45.0867,7.6816247,2199462341602126222,"7 : 0.13904452, 6 : 0.028638385, 6 : 0.025570408"
44,45.0867,7.6816247,2199424535900596923,"9 : 0.5087601, 9 : 0.097802974, 1 : 0.06725651"
45,45.0867,7.6816247,2199389079050202541,"7 : 0.56687385, 13 : 0.035262555, 13 : 0.034276154"
46,45.0867,7.6816247,2194528797295098981,"7 : 0.54708606, 2 : 0.24724269, 11 : 0.01148301"
47,45.0867,7.6816247,2194428407643740430,"14 : 0.30437624, 8 : 0.18246402, 9 : 0.14506258"
48,45.0867,7.6816247,2194427983549279031,"7 : 0.18466419, 3 : 0.06878508, 7 : 0.053510007"
49,45.0867,7.6816247,2194404112077456359,"7 : 0.91022635, 7 : 0.053771026, 7 : 0.0036564101"
50,45.0867,7.6816247,2194280927795061972,"4 : 0.2976308, 9 : 0.1110544, 2 : 0.059594117"
51,45.0867,7.6816247,2189377704554960379,"13 : 0.20006463, 9 : 0.11826186, 7 : 0.045917805"
52,45.0867,7.6816247,2189353048254486835,"7 : 0.12476196, 2 : 0.097507656, 7 : 0.03726477"
53,45.0867,7.6816247,2189301438164438304,"7 : 0.30026588, 7 : 0.121641316, 7 : 0.040775236"
54,45.0867,7.6816247,2189227933441363346,"13 : 0.3512843, 7 : 0.065472886, 3 : 0.060288012"
