lat,lng,ids,predictions,label,CLUSTER_ID
45.021581,7.668113,48853693093,"9 : 0.771836, 5 : 0.038910042, 4 : 0.029154144",0,2.0
45.023108,7.668669,40888358093,"13 : 0.5204463, 13 : 0.02884227, 8 : 0.02430947",0,2.0
45.023108,7.668669,40888357913,"13 : 0.97802645, 13 : 0.0017179637, 13 : 0.0017137509",0,2.0
45.023108,7.668669,46938714965,"13 : 0.94438505, 2 : 0.0039915405, 13 : 0.0027415866",0,2.0
45.023108,7.668669,40888357703,"13 : 0.9955324, 13 : 0.0012471462, 7 : 0.0004940661",0,2.0
45.023108,7.668669,46938714655,"13 : 0.27591944, 7 : 0.2747926, 13 : 0.10164123",0,2.0
45.023108,7.668669,40888357273,"2 : 0.66566515, 13 : 0.06223651, 8 : 0.024047472",0,2.0
45.023108,7.668669,47854998681,"13 : 0.21257105, 13 : 0.109851204, 7 : 0.08528106",0,2.0
45.023108,7.668669,47802860512,"13 : 0.2805229, 13 : 0.057184387, 13 : 0.053843524",0,2.0
45.023108,7.668669,47802860262,"13 : 0.9454862, 13 : 0.0022066042, 13 : 0.0020535658",0,2.0
45.023108,7.668669,47802859872,"13 : 0.99714464, 13 : 0.00036922493, 8 : 0.0001399303",0,2.0
45.023108,7.668669,47802859692,"13 : 0.44790688, 14 : 0.037754856, 13 : 0.029226005",0,2.0
45.023108,7.668669,47802859482,"13 : 0.17140836, 13 : 0.037509143, 7 : 0.03679335",0,2.0
45.023108,7.668669,46938714205,"13 : 0.42314076, 13 : 0.0504339, 7 : 0.02753532",0,2.0
45.023108,7.668669,47802860072,"13 : 0.99507433, 13 : 0.00042734313, 13 : 0.0002816688",0,2.0
45.023371,7.669023,49614085636,"13 : 0.12758528, 2 : 0.079623014, 14 : 0.021610638",0,2.0
45.023371,7.669023,49608800862,"9 : 0.6359469, 7 : 0.043457404, 7 : 0.02223917",0,2.0
45.023371,7.669023,49608033513,"13 : 0.31686255, 13 : 0.07258668, 12 : 0.03664197",0,2.0
45.023371,7.669023,49556725538,"13 : 0.29138362, 13 : 0.28600812, 13 : 0.091528095",0,2.0
45.023371,7.669023,49556724573,"8 : 0.2220535, 13 : 0.19421221, 13 : 0.11181967",0,2.0
45.023371,7.669023,49557219696,"9 : 0.2153361, 13 : 0.09161936, 7 : 0.025352232",0,2.0
45.023371,7.669023,49744182747,"9 : 0.180904, 7 : 0.16839793, 13 : 0.088633455",0,2.0
45.023371,7.669023,49743305493,"13 : 0.7398385, 9 : 0.03168509, 13 : 0.021400066",0,2.0
45.023371,7.669023,49743304948,"13 : 0.8433958, 13 : 0.0093911085, 2 : 0.005013772",0,2.0
45.023371,7.669023,49743200808,"13 : 0.8433958, 13 : 0.0093911085, 2 : 0.005013772",0,2.0
