,lat,lon,id,predictions
0,45.098511,7.735816,31946729032,"13 : 0.8683199, 2 : 0.008062342, 2 : 0.0075285695"
1,45.066655,7.681739,34823087833,"1 : 0.41589245, 1 : 0.2061548, 11 : 0.07892199"
2,45.065375,7.680805,34823087023,"1 : 0.23162048, 2 : 0.13669734, 11 : 0.04868909"
3,45.065375,7.680805,35592602336,"1 : 0.21840264, 1 : 0.16890116, 8 : 0.07126554"
4,45.065375,7.680805,34823085033,"9 : 0.2625789, 12 : 0.14408293, 9 : 0.058791358"
5,45.065375,7.680805,34790661734,"1 : 0.10185399, 4 : 0.080880545, 11 : 0.061218906"
6,45.065375,7.680805,34823082803,"9 : 0.32289514, 2 : 0.10720985, 9 : 0.032458395"
7,45.065375,7.680805,35631736695,"9 : 0.82968825, 1 : 0.069060065, 12 : 0.034389064"
8,45.068012,7.632086,31719234540,"13 : 0.100418426, 7 : 0.09169162, 7 : 0.09064283"
9,45.066655,7.682361,31976077542,"8 : 0.44342765, 8 : 0.24957284, 13 : 0.1106824"
10,45.071732,7.683906,34527289990,"4 : 0.10949861, 8 : 0.084929146, 9 : 0.06659785"
11,45.068012,7.632086,31732306570,"14 : 0.09321076, 2 : 0.06956258, 12 : 0.053882107"
12,45.068012,7.632086,31297394043,"13 : 0.88134664, 3 : 0.019226244, 13 : 0.015575249"
13,45.067845,7.631893,31295625823,"3 : 0.30508104, 2 : 0.06412046, 6 : 0.05169201"
14,45.068012,7.632086,31295589673,"2 : 0.7851986, 3 : 0.04091394, 12 : 0.022676488"
15,45.074058,7.673574,31387492654,"13 : 0.49326977, 13 : 0.08305816, 13 : 0.07095627"
16,45.067752,7.632341,32027824271,"3 : 0.23049487, 3 : 0.12221025, 3 : 0.07018031"
17,45.082622,7.685153,32747561162,"13 : 0.50146645, 13 : 0.059336126, 13 : 0.04433031"
18,45.082622,7.685153,32521088850,"13 : 0.32492122, 13 : 0.11780409, 13 : 0.0895809"
19,45.082622,7.685153,32521084940,"13 : 0.8213517, 13 : 0.077759825, 2 : 0.027034067"
20,45.08274,7.685065,32521081110,"13 : 0.5746673, 13 : 0.15897532, 13 : 0.096177824"
21,45.031111,7.687777,36092905572,"12 : 0.10372455, 12 : 0.07361916, 1 : 0.04692192"
22,45.031111,7.6875,36260016835,"7 : 0.8848221, 7 : 0.030482782, 7 : 0.026061371"
23,45.067504,7.681996,32198577506,"13 : 0.24478953, 13 : 0.14970964, 9 : 0.09651385"
24,45.069777,7.704055,34766901642,"8 : 0.13490725, 5 : 0.07727105, 8 : 0.04846826"
25,45.089383,7.669701,32232174586,"5 : 0.49940002, 9 : 0.38120356, 9 : 0.025822712"
26,45.061078,7.634854,34930993425,"13 : 0.85619116, 5 : 0.04901278, 9 : 0.038241334"
27,45.068042,7.632075,32260610676,"12 : 0.6080618, 7 : 0.015342088, 2 : 0.014613279"
28,45.064533,7.6872,32291714185,"3 : 0.18845224, 3 : 0.08890548, 7 : 0.07872242"
29,45.0612,7.6806,33459950710,"2 : 0.32600734, 13 : 0.09499966, 13 : 0.072913416"
30,45.076519,7.630738,32370517756,"7 : 0.5124508, 12 : 0.06586229, 3 : 0.04732656"
31,45.075285,7.590404,32327859412,"2 : 0.09941861, 2 : 0.09526935, 7 : 0.09108525"
32,45.063483,7.696077,32379768692,"5 : 0.7081874, 5 : 0.13560821, 1 : 0.05166863"
33,45.073119,7.681396,31730496003,"1 : 0.32225728, 11 : 0.1487808, 11 : 0.06082271"
34,45.073323,7.682189,32389977282,"9 : 0.7338153, 8 : 0.12130392, 1 : 0.04104003"
35,45.07352,7.68293,32389965232,"9 : 0.17929235, 4 : 0.13649297, 8 : 0.110489786"
36,45.074679,7.684357,32501558876,"1 : 0.18580575, 1 : 0.14081705, 11 : 0.13043298"
37,45.072247,7.685387,31698808634,"1 : 0.764102, 8 : 0.035029426, 9 : 0.03381516"
38,45.070876,7.684196,32389942902,"1 : 0.18249755, 9 : 0.12569366, 1 : 0.11847904"
39,45.07055,7.684539,32501543276,"3 : 0.45420772, 9 : 0.11232238, 8 : 0.03890224"
40,45.075285,7.590404,32475522016,"13 : 0.9711231, 13 : 0.01672949, 13 : 0.003939112"
41,45.108868,7.640882,32410246951,"13 : 0.20349011, 13 : 0.07041648, 13 : 0.03994998"
42,45.098511,7.735816,32409987791,"5 : 0.2740226, 6 : 0.21128894, 10 : 0.03409109"
43,45.058422,7.678913,33977560875,"3 : 0.7624106, 3 : 0.17889571, 3 : 0.008714017"
44,45.05845,7.678963,33268205025,"3 : 0.24512377, 3 : 0.20900288, 7 : 0.10376408"
45,45.058411,7.678955,32453679933,"3 : 0.9589386, 3 : 0.0029415565, 3 : 0.0025623704"
46,45.075285,7.590404,32570094466,"3 : 0.30853108, 2 : 0.07463327, 2 : 0.039389893"
47,45.071974,7.690622,34832733291,"1 : 0.7330568, 11 : 0.06752015, 9 : 0.048878796"
48,45.063125,7.695722,32835007365,"9 : 0.14919393, 9 : 0.0824534, 8 : 0.07447996"
49,45.062988,7.678735,32089520333,"13 : 0.18832856, 13 : 0.11752146, 12 : 0.085840106"
50,45.082717,7.707231,34935642666,"7 : 0.1640689, 12 : 0.054396935, 2 : 0.051455565"
51,45.071853,7.680183,33355245365,"13 : 0.3662517, 7 : 0.064996324, 2 : 0.045617398"
52,45.032463,7.641082,33042073195,"5 : 0.8948336, 6 : 0.009031373, 3 : 0.006026861"
53,45.074907,7.674679,34853399841,"7 : 0.17759942, 7 : 0.08972293, 9 : 0.0837572"
54,45.069307,7.688498,33118955152,"8 : 0.44184113, 8 : 0.15847804, 8 : 0.019949308"
55,45.069247,7.693133,33208460135,"1 : 0.87714785, 11 : 0.018842226, 11 : 0.0035182743"
56,45.01923,7.667534,34475759955,"9 : 0.9905874, 9 : 0.006953692, 2 : 0.0004507219"
57,45.065791,7.694013,32390569994,"9 : 0.4507346, 1 : 0.10179415, 1 : 0.062458698"
58,45.062988,7.678735,32359872153,"2 : 0.49189746, 2 : 0.051914953, 3 : 0.010175628"
59,45.062988,7.678735,33133570736,"2 : 0.14285925, 2 : 0.06157225, 10 : 0.045733772"
60,45.052131,7.679541,33056899842,"13 : 0.51962465, 13 : 0.24429499, 4 : 0.09982204"
61,45.052131,7.679541,33077434631,"13 : 0.92624897, 13 : 0.029817358, 13 : 0.026465863"
62,45.073869,7.682833,33085825141,"9 : 0.45839888, 1 : 0.17863345, 12 : 0.043470897"
63,45.069307,7.685279,32830875970,"2 : 0.33618703, 4 : 0.28176755, 7 : 0.16976511"
64,45.069307,7.685279,33056792632,"7 : 0.4029041, 7 : 0.08171337, 7 : 0.06867225"
65,45.069307,7.685279,33171926316,"12 : 0.4470115, 2 : 0.093106754, 12 : 0.06674488"
66,45.069307,7.685279,33056732802,"13 : 0.07083073, 2 : 0.067048945, 11 : 0.05594472"
67,45.069307,7.685279,32369071014,"4 : 0.29358566, 2 : 0.28858, 7 : 0.04621996"
68,45.069307,7.685279,32369032714,"7 : 0.47902018, 7 : 0.4781092, 7 : 0.0069241747"
69,45.069376,7.685236,32398404553,"7 : 0.2921656, 7 : 0.24790785, 13 : 0.035394274"
70,45.069307,7.685279,32398387023,"12 : 0.08458321, 9 : 0.0746062, 3 : 0.06767712"
71,45.069307,7.685279,33085466011,"10 : 0.97725976, 2 : 0.019591708, 10 : 0.0008814953"
72,45.073869,7.682833,32368879264,"11 : 0.7584634, 11 : 0.012786619, 2 : 0.011008452"
73,45.069307,7.685279,33213110745,"7 : 0.31139433, 10 : 0.14701079, 11 : 0.13513298"
74,45.073869,7.682833,33085198741,"8 : 0.112336226, 1 : 0.10694355, 9 : 0.044346973"
75,45.073869,7.682833,32398092043,"4 : 0.53166884, 9 : 0.046281107, 8 : 0.03606998"
76,45.07183,7.69176,33109226232,"11 : 0.40921834, 11 : 0.18516402, 1 : 0.09593333"
77,45.032463,7.641082,33307047535,"8 : 0.10961177, 5 : 0.10792614, 5 : 0.10325989"
78,45.032463,7.641082,32492433633,"9 : 0.25244677, 9 : 0.12555964, 3 : 0.11376058"
79,45.061964,7.684464,33506260725,"3 : 0.8253374, 2 : 0.04569022, 11 : 0.0067620655"
80,45.051977,7.679775,35000187986,"6 : 0.23537184, 6 : 0.07616643, 6 : 0.056334436"
81,45.067686,7.651826,33288789466,"7 : 0.5786428, 7 : 0.41790232, 3 : 0.00015621298"
82,45.0667,7.7,33307983076,"2 : 0.31544226, 14 : 0.0927456, 7 : 0.038008634"
83,45.069305,7.684611,32964075350,"13 : 0.6088932, 13 : 0.049043454, 13 : 0.023468265"
84,45.092097,7.685687,33227563522,"2 : 0.17725715, 2 : 0.10530637, 2 : 0.082720935"
85,45.07167,7.70844,33284814411,"2 : 0.41264975, 7 : 0.2911439, 4 : 0.053282853"
86,45.071005,7.68558,33382724126,"11 : 0.4953931, 1 : 0.42795205, 11 : 0.03299181"
87,45.109331,7.642149,33413658046,"9 : 0.32720342, 8 : 0.117933854, 5 : 0.043735348"
88,45.062063,7.685981,32639528943,"7 : 0.19151019, 12 : 0.07701916, 4 : 0.05140483"
89,45.021582,7.66289,33288078812,"4 : 0.2614175, 9 : 0.2152007, 1 : 0.17190242"
90,45.016118,7.666984,33060343970,"13 : 0.41650268, 13 : 0.14456597, 13 : 0.11694176"
91,45.05229,7.699551,33816630412,"3 : 0.18514183, 11 : 0.10677698, 8 : 0.07364441"
92,45.05229,7.699551,33585577180,"1 : 0.8981529, 1 : 0.033247095, 11 : 0.0076381327"
93,45.057327,7.651892,32655838433,"7 : 0.22556944, 3 : 0.13011034, 2 : 0.061559815"
94,45.07611,7.68184,33424176186,"3 : 0.43197623, 3 : 0.28579456, 3 : 0.04709754"
95,45.0667,7.7,33333121731,"8 : 0.48164612, 8 : 0.38078675, 8 : 0.021114398"
96,45.042288,7.652621,33125379910,"2 : 0.22133715, 13 : 0.06881759, 13 : 0.05245587"
97,45.042288,7.652621,33125377900,"2 : 0.20810968, 13 : 0.08310573, 10 : 0.042495098"
98,45.042288,7.652621,33352506642,"13 : 0.55175835, 9 : 0.31492886, 8 : 0.024215132"
99,45.042288,7.652621,32665519024,"13 : 0.44510835, 9 : 0.175052, 6 : 0.017886875"
100,45.042288,7.652621,32665514554,"13 : 0.85885733, 1 : 0.005744963, 2 : 0.0052164984"
101,45.042288,7.652621,32665508064,"13 : 0.7736499, 9 : 0.036819246, 7 : 0.017275505"
102,45.042288,7.652621,32665501034,"13 : 0.88277453, 13 : 0.0361072, 13 : 0.022577472"
103,45.042288,7.652621,33352470992,"13 : 0.7096882, 13 : 0.24436165, 11 : 0.0068077384"
104,45.042288,7.652621,33467907746,"13 : 0.6550515, 13 : 0.30099383, 13 : 0.0044717537"
105,45.042288,7.652621,33125332920,"13 : 0.29461896, 8 : 0.07419827, 12 : 0.035806753"
106,45.042288,7.652621,33509117625,"9 : 0.24898389, 13 : 0.13744415, 8 : 0.096078664"
107,45.042288,7.652621,33509113175,"13 : 0.77409554, 13 : 0.06237246, 9 : 0.014159489"
108,45.042288,7.652621,33352444082,"13 : 0.9387628, 13 : 0.033438206, 13 : 0.006182763"
109,45.042288,7.652621,33380479481,"13 : 0.51614743, 13 : 0.24948312, 13 : 0.074248604"
110,45.042288,7.652621,33125317080,"13 : 0.9845313, 13 : 0.0036916684, 10 : 0.0019082486"
111,45.042288,7.652621,33380466731,"13 : 0.3246567, 13 : 0.22707063, 13 : 0.08053316"
112,45.042288,7.652621,32665470224,"13 : 0.9280839, 13 : 0.039733574, 13 : 0.0040276423"
113,45.042288,7.652621,33509082935,"13 : 0.9285015, 13 : 0.029239215, 10 : 0.016131736"
114,45.042288,7.652621,33380440991,"13 : 0.987973, 13 : 0.0035960565, 13 : 0.00093815447"
115,45.042288,7.652621,33467871116,"13 : 0.97381616, 13 : 0.021251021, 13 : 0.0011762399"
116,45.042288,7.652621,33467862726,"13 : 0.89884055, 13 : 0.07002959, 13 : 0.012874381"
117,45.042288,7.652621,33125291770,"13 : 0.8515736, 13 : 0.13978796, 13 : 0.002439608"
118,45.042288,7.652621,33467853246,"7 : 0.103225686, 13 : 0.03899187, 13 : 0.032458827"
119,45.042288,7.652621,32694469223,"13 : 0.9016503, 13 : 0.028792983, 13 : 0.019136082"
120,45.042288,7.652621,32694462563,"13 : 0.22229336, 13 : 0.08206349, 6 : 0.069905765"
121,45.042288,7.652621,32694458483,"13 : 0.20399813, 13 : 0.18227226, 13 : 0.05652021"
122,45.042288,7.652621,32694455283,"13 : 0.576415, 13 : 0.16965005, 13 : 0.060574003"
123,45.042288,7.652621,33509032125,"13 : 0.2612856, 13 : 0.17213598, 2 : 0.07903276"
124,45.042288,7.652621,32665408124,"13 : 0.5907608, 13 : 0.10621911, 13 : 0.08572487"
125,45.042288,7.652621,33509025905,"13 : 0.6064921, 13 : 0.120360434, 13 : 0.049855217"
126,45.042288,7.652621,32665400944,"13 : 0.4541435, 13 : 0.15476997, 13 : 0.14962001"
127,45.042288,7.652621,33509018595,"13 : 0.54599804, 13 : 0.164806, 13 : 0.10808333"
128,45.042288,7.652621,33380369111,"13 : 0.7402568, 13 : 0.124808125, 13 : 0.021655064"
