,lat,lon,id,predictions
0,45.0647194444,7.6840194444,2193148065586734486,"11 : 0.52510583, 2 : 0.14749797, 10 : 0.038596384"
1,45.0647194444,7.6840194444,1870556382773114020,"2 : 0.28782764, 2 : 0.14800774, 14 : 0.104356766"
2,45.0647194444,7.6840194444,1861945286432394044,"2 : 0.49486282, 11 : 0.08877666, 2 : 0.038051628"
3,45.0647194444,7.6840194444,1638735785433919065,"1 : 0.2247339, 11 : 0.2233399, 11 : 0.1109314"
4,45.06199,7.68795,2193171516796144460,"11 : 0.883484, 2 : 0.02656657, 11 : 0.014479197"
5,45.06199,7.68795,2137341912928027414,"11 : 0.55511665, 11 : 0.3402693, 11 : 0.026423432"
6,45.06199,7.68795,2100490390695109901,"11 : 0.7847636, 2 : 0.13655744, 11 : 0.010771581"
7,45.06199,7.68795,2069257145494366849,"11 : 0.4986389, 12 : 0.15662159, 3 : 0.03835643"
8,45.06199,7.68795,2019146197549226495,"7 : 0.29535642, 7 : 0.21278656, 9 : 0.09037238"
9,45.06199,7.68795,2004684086983242754,"1 : 0.5473853, 1 : 0.08538299, 11 : 0.022191716"
10,45.06199,7.68795,1992379023531012248,"1 : 0.64775616, 7 : 0.046090227, 7 : 0.021257646"
11,45.06199,7.68795,1973605701676495041,"1 : 0.8173423, 1 : 0.03996433, 11 : 0.037163757"
12,45.06199,7.68795,1938798952943271384,"14 : 0.2820778, 7 : 0.16274928, 3 : 0.07655905"
13,45.06199,7.68795,1938008741069146972,"8 : 0.34856835, 8 : 0.19823812, 8 : 0.030611156"
14,45.06199,7.68795,1830919565954465202,"1 : 0.9381823, 1 : 0.013167182, 4 : 0.0052789766"
15,45.06199,7.68795,1830766719544421030,"1 : 0.39004248, 11 : 0.34488684, 11 : 0.092735365"
16,45.06199,7.68795,1811889831314177433,"1 : 0.5862189, 1 : 0.29916015, 11 : 0.045890406"
17,45.06199,7.68795,1811154254518646552,"2 : 0.5942568, 11 : 0.08476405, 11 : 0.029522818"
18,45.06199,7.68795,1799621162734222421,"11 : 0.9109722, 2 : 0.025880026, 2 : 0.0034197785"
19,45.06199,7.68795,1798112245891004280,"2 : 0.6220269, 2 : 0.36390558, 3 : 0.0004883066"
20,45.06199,7.68795,1784340749656287281,"11 : 0.5615624, 11 : 0.35975143, 2 : 0.01770837"
21,45.06199,7.68795,1774948322656555576,"14 : 0.27306387, 2 : 0.13234884, 13 : 0.13030782"
22,45.06199,7.68795,1643734817299592057,"11 : 0.65912974, 2 : 0.11626694, 9 : 0.01224806"
23,45.06199,7.68795,1630071108185185817,"1 : 0.9636933, 2 : 0.0023938778, 11 : 0.00235494"
24,45.06199,7.68795,1629973837938512715,"1 : 0.5806186, 11 : 0.11765053, 1 : 0.05851111"
25,45.06199,7.68795,1619843814067020728,"1 : 0.22115377, 1 : 0.16986391, 11 : 0.15046087"
26,45.06199,7.68795,1617007446412107898,"8 : 0.896774, 8 : 0.017728968, 8 : 0.0079605095"
27,45.06199,7.68795,1566279534712606373,"4 : 0.17922604, 1 : 0.08536541, 2 : 0.031380557"
