lat,lng,cluster_id,[photos_per_coordinates],[photos_per_cluster],cultural,turist_attr,cadastre,Palaces,Miscellaneous,Food,Facilities,Natural_views,Animals,Shopping,Transportation,Urbanscape,Exhibits,Religion,Residence,Entertainment,People
45.00583,7.610441,5.0,36,426,11.078478992268133,70.93595223393596,84.37273025754715,5.863830360711921,22.440703356947253,16.282952438542125,4.975906237068206,2.287761859416516,3.747491603833454,43.57452080312571,34.93437909370952,24.533461462745922,3.2871898015598036,1.9274588299964095,9.808344426146919,38.43148094006831,2.127320601873903
45.013842,7.75286,6.0,7,110,2.0605543633236487,11.044215873514046,7.210887623928613,0.6251536480579686,4.48514673901713,3.665735896936968,0.8041951774640462,0.846160612668698,0.6337730947341776,5.317925613253429,1.2678083626172163,1.881373165040256,0.784080166903519,0.651320548362161,0.6838574100044352,1.245178581833452,0.15048448574920623
45.016621,7.750114,6.0,1,110,2.0605543633236487,11.044215873514046,7.210887623928613,0.6251536480579686,4.48514673901713,3.665735896936968,0.8041951774640462,0.846160612668698,0.6337730947341776,5.317925613253429,1.2678083626172163,1.881373165040256,0.784080166903519,0.651320548362161,0.6838574100044352,1.245178581833452,0.15048448574920623
45.017592,7.752678,6.0,12,110,2.0605543633236487,11.044215873514046,7.210887623928613,0.6251536480579686,4.48514673901713,3.665735896936968,0.8041951774640462,0.846160612668698,0.6337730947341776,5.317925613253429,1.2678083626172163,1.881373165040256,0.784080166903519,0.651320548362161,0.6838574100044352,1.245178581833452,0.15048448574920623
45.017269,7.757683,6.0,1,110,2.0605543633236487,11.044215873514046,7.210887623928613,0.6251536480579686,4.48514673901713,3.665735896936968,0.8041951774640462,0.846160612668698,0.6337730947341776,5.317925613253429,1.2678083626172163,1.881373165040256,0.784080166903519,0.651320548362161,0.6838574100044352,1.245178581833452,0.15048448574920623
45.017777,7.748888,6.0,1,110,2.0605543633236487,11.044215873514046,7.210887623928613,0.6251536480579686,4.48514673901713,3.665735896936968,0.8041951774640462,0.846160612668698,0.6337730947341776,5.317925613253429,1.2678083626172163,1.881373165040256,0.784080166903519,0.651320548362161,0.6838574100044352,1.245178581833452,0.15048448574920623
45.018692,7.665238,7.0,40,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.021582,7.66289,7.0,1,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.023108,7.668669,7.0,14,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.023371,7.669023,7.0,255,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.023433,7.666894,7.0,90,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.02353,7.669297,7.0,35,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.023544,7.669288,7.0,2,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.02355,7.669294,7.0,4,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.023563,7.669311,7.0,45,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.023569,7.66928,7.0,36,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
45.024033,7.670055,7.0,1,565,3.273263566023355,80.9532870400665,83.6424352491658,0.2988022227252353,34.601990599593094,6.707819752042808,6.112149170711741,9.425037217258522,18.87849625484303,70.97220372200034,12.371429304440225,20.32734346487402,2.804807406279292,0.16965393701882772,3.760464023038036,245.69805640801275,7.819957250100425
