macro_classes,values
1,2.145749866760439
2,7.577733476267441
3,4.759631247909363
4,2.251604701208819
5,6.470785680564376
6,4.707308637171165
7,8.826048695454402
8,3.8026529921469243
9,8.857252387067852
10,0.9243575232345875
11,1.0793513550080172
12,1.643595095354221
13,46.13544362907926
14,0.8184847127731298
