macro_classes,values
1,12.272829367738233
2,8.361500914663
3,6.7395549711997935
4,4.949461904036233
5,9.959549057497853
6,5.44763233130021
7,12.00118591454497
8,12.827789373632129
9,11.474666066348584
10,1.8190306683842454
11,3.217339867422105
12,3.2329661218451196
13,6.63114957666947
14,1.0653438647180575
