lat,lng,id,cluster_id,[photos],Palaces,Miscellaneous,Food,Facilities,Natural_views,Animals,Shopping,Transportation,Urbanscape,Exhibits,Religion,Residence,Entertainment,People
45.066319,7.681830000000001,47436331421,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066319,7.681830000000001,32494517787,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066319,7.681830000000001,33560225598,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066319,7.681830000000001,47383482792,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066319,7.681830000000001,46521100475,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066319,7.681830000000001,40470483903,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066319,7.681830000000001,40470483563,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066322,7.684908,48776205926,2,1374,60.81369883540003,87.68512917012012,394.5893839307795,24.907790811022995,5.7703167994873406,12.39186424357,87.14460076235098,18.748277377236004,17.206724582239996,8.7643901289,15.154108450548,44.487186417600014,88.39698774274564,7.1294297022999995
45.066324,7.688852000000001,49014080202,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066324,7.6888630000000004,24284070617,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066324,7.6888630000000004,24284072657,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066325,7.682075,35549522300,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066328999999996,7.688304,48681605651,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066328999999996,7.688304,48681605621,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066352,7.6884,45838539244,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066355,7.688788000000001,48692594663,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066355,7.688788000000001,48693108752,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066359999999996,7.688841,48092429612,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066365000000005,7.688874,33187246570,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
45.066388,7.681655,47436338881,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066388,7.681655,47436331441,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066388,7.681666000000001,42238705712,11,1761,292.89847871824037,130.78798935336502,210.32381763613986,27.572730635430002,8.936018581159997,10.804350761779999,122.50119520515452,41.29393699030001,79.71307644453002,11.377803894440007,130.1220167149699,27.76251775660569,65.08861231571059,5.9383765007
45.066404,7.688737,33363893800,10,2862,190.50078088939983,277.93858075137143,273.42198752600007,47.674890428400005,26.507231071299987,46.34578911322199,325.56375933290644,95.10384850549897,90.37123834954703,18.14612882891,161.37954687312003,73.83730852103196,119.65218813723762,16.9572208834
