,lat,lon
0,45.049602,7.684859
1,45.048169,7.684837
2,45.070141,7.664186
3,45.069974,7.664980
4,45.064533,7.695944
5,45.070307,7.681524
6,45.070307,7.681524
7,45.055991,7.676738
8,45.070527,7.683906
9,45.062478,7.698806
10,45.062409,7.698665
11,45.050361,7.769479
12,45.049986,7.687250
13,45.052059,7.685194
14,45.050118,7.685033
15,45.049065,7.684121
16,45.040688,7.787611
17,45.072545,7.685730
18,45.067756,7.681224
19,45.050361,7.769479
20,45.098511,7.735816
21,45.050361,7.769479
22,45.050361,7.769479
23,45.071575,7.685430
24,45.064420,7.690676
25,45.050164,7.685376
26,45.050361,7.769479
27,45.067635,7.681095
28,45.067756,7.681224
29,45.050361,7.769479
30,45.050361,7.769479
31,45.050361,7.769479
32,45.050361,7.769479
33,45.050361,7.769479
34,45.050361,7.769479
35,45.066655,7.681739
36,45.066655,7.681739
37,45.077816,7.638555
38,45.077816,7.638555
39,45.077816,7.638555
40,45.076217,7.640798
41,45.077824,7.638587
42,45.076217,7.640798
43,45.071065,7.685730
44,45.070307,7.681524
45,45.066867,7.682254
46,45.066708,7.682136
47,45.065375,7.680805
48,45.066655,7.681739
49,45.066655,7.681739
50,45.070300,7.684346
51,45.065375,7.680805
52,45.065375,7.680805
53,45.065375,7.680805
54,45.065375,7.680805
55,45.065375,7.680805
56,45.065375,7.680805
57,45.068012,7.632086
58,45.040681,7.787611
59,45.040681,7.787611
60,45.040681,7.787611
61,45.061593,7.694034
62,45.063980,7.696920
63,45.052855,7.686910
64,45.061714,7.638351
65,45.048822,7.685011
66,45.052893,7.686910
67,45.071232,7.685698
68,45.066655,7.682361
69,45.071957,7.688326
70,45.078025,7.649013
71,45.071732,7.683906
72,45.071293,7.686502
73,45.071262,7.686524
74,45.063253,7.678638
75,45.061775,7.679786
76,45.049050,7.685129
77,45.097150,7.656913
78,45.058683,7.687489
79,45.070970,7.683670
80,45.068012,7.632086
81,45.068012,7.632086
82,45.067845,7.631893
83,45.068012,7.632086
84,45.080869,7.766690
85,45.071704,7.685444
86,45.080869,7.766690
87,45.076217,7.640798
88,45.059782,7.697392
89,45.059782,7.697392
90,45.067852,7.682061
91,45.067852,7.682061
92,45.068565,7.684121
93,45.068610,7.684164
94,45.068580,7.684099
95,45.080460,7.766840
96,45.040681,7.787611
