,lat,lng,label,counters
296,45.07299,7.67869,0,3
297,45.0748333333,7.6785555556,0,500
298,45.0748333333,7.6785555556,0,500
299,45.0748333333,7.6785555556,0,500
300,45.0655,7.67949,0,28
301,45.0655,7.67949,0,28
302,45.0655,7.67949,0,28
303,45.065106281,7.67953373769999,0,854
304,45.065106281,7.67953373769999,0,854
305,45.065106281,7.67953373769999,0,854
306,45.07089,7.67906,0,95
307,45.07089,7.67906,0,95
308,45.07089,7.67906,0,95
309,45.05851,7.68055,0,10
310,45.05851,7.68055,0,10
311,45.05851,7.68055,0,10
312,45.0547054525,7.68097045249999,0,138
313,45.0547054525,7.68097045249999,0,138
314,45.0547054525,7.68097045249999,0,138
315,45.0764268,7.67886235,0,28
316,45.0764268,7.67886235,0,28
317,45.0764268,7.67886235,0,28
318,45.05427,7.68131,0,8
319,45.05427,7.68131,0,8
320,45.05427,7.68131,0,8
321,45.06243,7.68062,0,158
322,45.06243,7.68062,0,158
323,45.06243,7.68062,0,158
324,45.0754435053,7.67939100099999,0,179
325,45.0754435053,7.67939100099999,0,179
326,45.0754435053,7.67939100099999,0,179
327,45.072138107,7.6798268975,0,245
328,45.072138107,7.6798268975,0,245
329,45.072138107,7.6798268975,0,245
330,45.070488,7.680393,0,1
331,45.070488,7.680393,0,1
332,45.070488,7.680393,0,1
333,45.0656106902,7.6810751982,0,51
334,45.0656106902,7.6810751982,0,51
335,45.0656106902,7.6810751982,0,51
336,45.047646351,7.6829989722,0,18
337,45.047646351,7.6829989722,0,18
338,45.047646351,7.6829989722,0,18
339,45.0467236362,7.6831425929,0,157
340,45.0467236362,7.6831425929,0,157
341,45.0467236362,7.6831425929,0,157
342,45.0743160415,7.6806218081,0,104
343,45.0743160415,7.6806218081,0,104
344,45.0743160415,7.6806218081,0,104
345,45.0730940539,7.6808501202,0,512
346,45.0730940539,7.6808501202,0,512
347,45.0730940539,7.6808501202,0,512
348,45.0584558,7.6825035,0,125
349,45.0584558,7.6825035,0,125
350,45.0584558,7.6825035,0,125
351,45.0653112144,7.6819278291,0,138
352,45.0653112144,7.6819278291,0,138
353,45.0653112144,7.6819278291,0,138
354,45.06352,7.68246,0,409
355,45.06352,7.68246,0,409
356,45.06352,7.68246,0,409
357,45.06687,7.68218,0,20
358,45.06687,7.68218,0,20
359,45.06687,7.68218,0,20
360,45.0625615513,7.6826616433,0,64
361,45.0625615513,7.6826616433,0,64
362,45.0625615513,7.6826616433,0,64
363,45.0498764393,7.6839280128,0,500
364,45.0498764393,7.6839280128,0,500
365,45.0498764393,7.6839280128,0,500
366,45.073006,7.68172899999999,0,25
367,45.073006,7.68172899999999,0,25
368,45.073006,7.68172899999999,0,25
369,45.0715603,7.68200959999999,0,26
370,45.0715603,7.68200959999999,0,26
371,45.0715603,7.68200959999999,0,26
372,45.04454054,7.68475739,0,7
373,45.04454054,7.68475739,0,7
374,45.04454054,7.68475739,0,7
375,45.0677,7.68257,0,83
376,45.0677,7.68257,0,83
377,45.0677,7.68257,0,83
378,45.073958435,7.6819863999,0,31
379,45.073958435,7.6819863999,0,31
380,45.073958435,7.6819863999,0,31
381,45.0485423744,7.684571743,0,61
382,45.0485423744,7.684571743,0,61
383,45.0485423744,7.684571743,0,61
384,45.069,7.6827,0,3
385,45.069,7.6827,0,3
386,45.069,7.6827,0,3
387,45.0500347694,7.684555122,0,98
388,45.0500347694,7.684555122,0,98
389,45.0500347694,7.684555122,0,98
390,45.07277,7.6824,0,245
391,45.07277,7.6824,0,245
392,45.07277,7.6824,0,245
393,45.07117,7.68262,0,445
394,45.07117,7.68262,0,445
395,45.07117,7.68262,0,445
396,45.06919,7.68284,0,43
397,45.06919,7.68284,0,43
398,45.06919,7.68284,0,43
399,45.072047,7.682624,0,69
400,45.072047,7.682624,0,69
401,45.072047,7.682624,0,69
402,45.07116,7.68275,0,330
403,45.07116,7.68275,0,330
404,45.07116,7.68275,0,330
405,45.06778,7.68328,0,133
406,45.06778,7.68328,0,133
407,45.06778,7.68328,0,133
408,45.0633192231,7.6838295567,0,916
409,45.0633192231,7.6838295567,0,916
410,45.0633192231,7.6838295567,0,916
411,45.0867,7.6816247,0,24
412,45.0867,7.6816247,0,24
413,45.0867,7.6816247,0,24
414,45.06151,7.68409,0,20
415,45.06151,7.68409,0,20
416,45.06151,7.68409,0,20
417,45.06284,7.68396999999999,0,124
418,45.06284,7.68396999999999,0,124
419,45.06284,7.68396999999999,0,124
420,45.0633408545,7.6839799297,0,85
421,45.0633408545,7.6839799297,0,85
422,45.0633408545,7.6839799297,0,85
423,45.0727251899,7.6831056573,0,402
424,45.0727251899,7.6831056573,0,402
425,45.0727251899,7.6831056573,0,402
426,45.0579369501,7.6845847754,0,53
427,45.0579369501,7.6845847754,0,53
428,45.0579369501,7.6845847754,0,53
429,45.0571404,7.68467,0,211
430,45.0571404,7.68467,0,211
431,45.0571404,7.68467,0,211
432,45.0532974658,7.6850635095,0,272
433,45.0532974658,7.6850635095,0,272
434,45.0532974658,7.6850635095,0,272
435,45.0532982625,7.685064479,0,31
436,45.0532982625,7.685064479,0,31
437,45.0532982625,7.685064479,0,31
438,45.0647194444,7.6840194444,0,503
439,45.0647194444,7.6840194444,0,503
440,45.0647194444,7.6840194444,0,503
441,45.0706215902,7.6838104592,0,3
442,45.0706215902,7.6838104592,0,3
443,45.0706215902,7.6838104592,0,3
444,45.0756494603,7.6833487849,0,94
445,45.0756494603,7.6833487849,0,94
446,45.0756494603,7.6833487849,0,94
447,45.07527,7.68343,0,47
448,45.07527,7.68343,0,47
449,45.07527,7.68343,0,47
450,45.0542686946,7.6855427731,0,59
451,45.0542686946,7.6855427731,0,59
452,45.0542686946,7.6855427731,0,59
453,45.07902,7.68325,0,35
454,45.07902,7.68325,0,35
455,45.07902,7.68325,0,35
456,45.0686259266,7.684418885,0,15
457,45.0686259266,7.684418885,0,15
458,45.0686259266,7.684418885,0,15
