ids,predictions,lat,lng,label,CLUSTER_ID
1.55890659766779e+18,"3 : 0.17530899, 2 : 0.123493575, 3 : 0.0966184",45.0579952662,7.6350170672,0,14.0
1.55596323153161e+18,"3 : 0.932431, 3 : 0.024939656, 3 : 0.004834358",45.0579952662,7.6350170672,0,14.0
1.55095295436056e+18,"2 : 0.18585101, 2 : 0.108049996, 13 : 0.09708654",45.0579952662,7.6350170672,0,14.0
1.54868964099797e+18,"3 : 0.96114343, 3 : 0.003668808, 3 : 0.0010489201",45.0579952662,7.6350170672,0,14.0
1.54655175528491e+18,"3 : 0.75071853, 3 : 0.04844526, 3 : 0.009305456",45.0579952662,7.6350170672,0,14.0
1.54302678460867e+18,"3 : 0.24881409, 3 : 0.18032381, 7 : 0.102957174",45.0579952662,7.6350170672,0,14.0
1.54280571190433e+18,"3 : 0.38426217, 3 : 0.04188566, 3 : 0.040016126",45.0579952662,7.6350170672,0,14.0
1.54141549687476e+18,"3 : 0.29327556, 3 : 0.15209575, 3 : 0.04364008",45.0579952662,7.6350170672,0,14.0
1.53776903676564e+18,"3 : 0.67722136, 3 : 0.028381335, 3 : 0.008293498",45.0579952662,7.6350170672,0,14.0
1.53257660475594e+18,"3 : 0.93655634, 13 : 0.040382344, 10 : 0.00045872136",45.0579952662,7.6350170672,0,14.0
1.52695111964885e+18,"5 : 0.24193035, 3 : 0.14638735, 3 : 0.11458947",45.0579952662,7.6350170672,0,14.0
1.5226574240156e+18,"3 : 0.5820871, 2 : 0.09600916, 3 : 0.034181252",45.0579952662,7.6350170672,0,14.0
1.5122637176973e+18,"3 : 0.6577869, 3 : 0.09310098, 3 : 0.09077264",45.0579952662,7.6350170672,0,14.0
1.50086228537492e+18,"3 : 0.996302, 2 : 0.0015831334, 3 : 0.00010505438",45.0579952662,7.6350170672,0,14.0
1.48361326524608e+18,"3 : 0.36070484, 7 : 0.15517525, 3 : 0.059463196",45.0579952662,7.6350170672,0,14.0
1.47189483881079e+18,"3 : 0.7917938, 3 : 0.10642828, 3 : 0.01452831",45.0579952662,7.6350170672,0,14.0
1.45664725575041e+18,"3 : 0.9697434, 3 : 0.0015243776, 2 : 0.0008316345",45.0579952662,7.6350170672,0,14.0
1.4550617381308e+18,"3 : 0.9356816, 3 : 0.0065566003, 2 : 0.0014211795",45.0579952662,7.6350170672,0,14.0
1.45101327660727e+18,"3 : 0.3167106, 3 : 0.1875864, 3 : 0.06067899",45.0579952662,7.6350170672,0,14.0
1.45079637915662e+18,"3 : 0.23069513, 3 : 0.08688253, 6 : 0.086551405",45.0579952662,7.6350170672,0,14.0
1.4457499641811e+18,"3 : 0.85898614, 3 : 0.00880299, 3 : 0.002341318",45.0579952662,7.6350170672,0,14.0
1.44515399981253e+18,"3 : 0.95299065, 2 : 0.018064883, 2 : 0.000736399",45.0579952662,7.6350170672,0,14.0
1.43996787217641e+18,"3 : 0.96551603, 2 : 0.011531026, 2 : 0.00044664828",45.0579952662,7.6350170672,0,14.0
1.43571146887166e+18,"3 : 0.95410854, 2 : 0.009648103, 3 : 0.00091556815",45.0579952662,7.6350170672,0,14.0
1.4312661194111e+18,"5 : 0.64543295, 3 : 0.30811638, 3 : 0.0043865396",45.0579952662,7.6350170672,0,14.0
1.43060018915262e+18,"3 : 0.9685723, 3 : 0.00491133, 3 : 0.0012824549",45.0579952662,7.6350170672,0,14.0
1.42775282386535e+18,"3 : 0.9086035, 3 : 0.012028439, 3 : 0.0046380707",45.0579952662,7.6350170672,0,14.0
1.42700218582079e+18,"3 : 0.99335104, 3 : 0.0027506931, 3 : 0.00036137906",45.0579952662,7.6350170672,0,14.0
1.42546811071064e+18,"6 : 0.58042425, 6 : 0.17429358, 3 : 0.03064976",45.0579952662,7.6350170672,0,14.0
1.42546775581372e+18,"3 : 0.37215403, 3 : 0.29449606, 3 : 0.15359995",45.0579952662,7.6350170672,0,14.0
1.42532774214483e+18,"5 : 0.5341733, 4 : 0.17856255, 9 : 0.06291798",45.0579952662,7.6350170672,0,14.0
1.42401161291041e+18,"5 : 0.36257187, 3 : 0.12476871, 7 : 0.048279516",45.0579952662,7.6350170672,0,14.0
2.05970688195967e+18,"7 : 0.41397446, 7 : 0.1871153, 13 : 0.13642885",45.0579952662,7.6350170672,0,14.0
