lat,lng,ids,predictions,label,CLUSTER_ID
45.00583,7.610441,32112533637,"7 : 0.24796145, 7 : 0.21797511, 13 : 0.08900893",0,5.0
45.00583,7.610441,32112532887,"7 : 0.13338695, 7 : 0.10838095, 7 : 0.078903764",0,5.0
45.00583,7.610441,32112531527,"13 : 0.7242087, 7 : 0.02154546, 10 : 0.014441368",0,5.0
45.00583,7.610441,33179087558,"10 : 0.09022817, 13 : 0.053773753, 13 : 0.028319014",0,5.0
45.00583,7.610441,32112529017,"13 : 0.26727065, 7 : 0.09155535, 7 : 0.03137977",0,5.0
45.00583,7.610441,32112527957,"13 : 0.4590818, 8 : 0.049210638, 2 : 0.039082192",0,5.0
45.00583,7.610441,32112526867,"7 : 0.9648354, 2 : 0.004915156, 13 : 0.0013312644",0,5.0
45.00583,7.610441,32112526047,"13 : 0.53308696, 13 : 0.019536188, 13 : 0.014076116",0,5.0
45.00583,7.610441,33179084588,"7 : 0.6234203, 13 : 0.041025154, 13 : 0.040883772",0,5.0
45.00583,7.610441,47054096471,"13 : 0.14778715, 7 : 0.1146914, 7 : 0.09940803",0,5.0
45.00583,7.610441,47054096051,"7 : 0.5422167, 7 : 0.0639304, 10 : 0.024234023",0,5.0
45.00583,7.610441,32112524057,"13 : 0.6401232, 10 : 0.060987964, 7 : 0.056295287",0,5.0
45.00583,7.610441,47054095361,"7 : 0.6563139, 13 : 0.10866133, 7 : 0.0145966215",0,5.0
45.00583,7.610441,33179079618,"13 : 0.15671255, 9 : 0.1526708, 8 : 0.097396806",0,5.0
45.00583,7.610441,47054093761,"13 : 0.35624072, 7 : 0.24939425, 7 : 0.020534676",0,5.0
45.00583,7.610441,33179077778,"13 : 0.1058961, 3 : 0.063990995, 7 : 0.06212189",0,5.0
45.00583,7.610441,47054092831,"7 : 0.1926031, 7 : 0.05561666, 13 : 0.037318073",0,5.0
45.00583,7.610441,32112521977,"7 : 0.7007041, 7 : 0.026623515, 13 : 0.019932486",0,5.0
