name,lat,lon,count,ID_QU_C_SI,TAVOLA_BN,TAVOLA_CO
"11",45.070488,7.680393,"7","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"11",45.070488,7.680393,"7",,,
"11",45.070488,7.680393,"7",,"10",
"12",45.072138107,7.6798268975,"77","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"12",45.072138107,7.6798268975,"77",,,
"12",45.072138107,7.6798268975,"77",,"10",
"13",45.0692,7.68496,"25","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"13",45.0692,7.68496,"25",,,
"13",45.0692,7.68496,"25",,"10",
"14",45.04769,7.67285,"194","1","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_bn.pdf target=_blank>Tavola b/n</a> (2,25 MB)","<a href=http://geoportale.comune.torino.it/geodati/pdf/carta_sintesi/25000/carta_sintesi_25000_8circoscrizioni_colori.pdf target=_blank>Tavola colori</a> (1,84 MB)"
"14",45.04769,7.67285,"194",,,
"14",45.04769,7.67285,"194",,"10",
